AL0_P,TM-score,TM-align,AL4_P,QCS,Z-score,Handed.,SS,DFM
0.001860459,0.003876775,0.005730469,0.113412312,0.071970601,0.000927045,0.00471145,0.004617572,0.00716536
0.022502631,-0.009227839,-0.00825169,0.09070306,0.052493227,-0.007385857,-0.009489472,-0.01022715,-0.006946648
0.012479955,-0.002347738,0.00053183,0.094090744,0.057213457,-0.010537641,-0.001425657,-0.001813437,-0.001428515
-0.010290905,0.00452326,0.002257435,0.098202804,0.061668105,-0.004632437,0.002060106,0.001582802,0.005283154
-0.004382807,0.007817917,0.007310293,0.108467549,0.065075344,0.000258465,0.007075101,0.006917893,0.006851172
