AL0_P,TM-score,TM-align,AL4_P,QCS,Z-score,Handed.,SS,DFM
0.662088002,0.005000534,0.000188161,0.775952679,0.661694623,0.219268214,-0.00224272,-0.001259537,0.008245446
0.726549794,0.003630399,0.003171431,0.779863748,0.706457857,0.216985959,-0.001958916,-0.00148325,0.003619047
0.719448018,-0.000233581,-0.002925811,0.771615659,0.698576367,0.211657018,-0.007247154,-0.006518885,0.002318326
0.701504805,0.026746438,0.025019916,0.746285959,0.6366326,0.243750571,0.020187317,0.021546621,0.028598297
0.679045282,-0.020693707,-0.023856957,0.772126584,0.684232764,0.203511336,-0.029122381,-0.027665474,-0.017442838
