DFM,AL4_P,TM-score,TM-align,Z-score,AL0_P,QCS,Handed.,SS
0.05,95.21,0.9,0.907,9.62,88.62,95.41,0.96,0.681
0.1,90.91,0.862,0.864,7.45,90.0,95.91,0.96,0.68
0.06,97.44,0.958,0.958,8.37,96.58,98.24,0.97,0.701
0.08,85.65,0.89,0.899,12.6,73.48,97.63,0.94,0.684
0.07,98.29,0.941,0.94,8.47,97.44,97.19,0.96,0.649
0.04,98.2,0.935,0.938,8.25,95.5,97.46,0.96,0.726
0.12,90.91,0.841,0.84,7.56,88.18,95.71,0.97,0.652
0.08,87.17,0.898,0.906,13.29,74.57,97.72,0.94,0.678
0.01,98.8,0.948,0.948,10.18,98.2,98.49,0.98,0.76
0.05,97.01,0.918,0.918,9.86,92.22,96.24,0.96,0.71
0.07,88.04,0.909,0.915,13.48,75.65,98.07,0.95,0.643
0.23,51.82,0.475,0.485,1.89,40.0,62.11,0.91,0.425
0.37,73.05,0.716,0.728,6.65,67.66,88.64,0.89,0.669
0.03,94.01,0.908,0.908,9.54,89.82,97.84,0.96,0.703
0.56,30.59,0.306,0.307,0.59,18.82,43.54,0.89,0.47
1.35,40.59,0.394,0.393,2.25,37.65,38.89,0.85,0.499
0.16,94.87,0.821,0.824,7.95,84.62,88.92,0.93,0.496
0.08,98.29,0.934,0.933,8.47,97.44,96.96,0.96,0.661
0.34,51.82,0.472,0.472,2.66,42.73,57.81,0.88,0.503
0.34,44.71,0.422,0.439,3.2,38.24,54.62,0.91,0.527
0.11,55.0,0.452,0.448,1.69,48.33,48.31,0.84,0.432
0.05,96.83,0.967,0.967,10.91,95.93,98.72,0.97,0.745
0.03,100.0,0.834,0.834,6.1,93.33,94.98,0.94,0.497
0.04,98.2,0.942,0.945,8.25,95.5,97.72,0.96,0.676
0.08,85.87,0.89,0.901,12.71,74.57,97.68,0.94,0.684
0.03,98.33,0.739,0.739,6.1,86.67,93.12,0.93,0.467
0.04,96.67,0.641,0.647,5.59,76.67,81.36,0.91,0.434
0.14,92.22,0.869,0.867,9.14,88.02,95.07,0.94,0.454
0.59,46.47,0.444,0.45,3.28,43.53,50.99,0.92,0.524
0.07,83.26,0.869,0.887,12.06,73.7,98.2,0.94,0.67
0.17,95.73,0.807,0.812,8.06,81.2,89.31,0.93,0.528
0.16,94.87,0.821,0.824,7.95,84.62,88.92,0.93,0.496
0.88,35.29,0.382,0.41,1.78,33.53,38.62,0.67,0.525
0.17,92.31,0.823,0.829,7.95,77.78,87.74,0.92,0.55
0.05,96.83,0.97,0.97,10.91,95.93,98.91,0.97,0.766
1.34,47.06,0.442,0.433,3.2,44.12,51.31,0.92,0.53
0.07,88.26,0.912,0.917,13.75,76.74,98.02,0.95,0.686
0.15,92.31,0.857,0.86,7.43,80.34,91.1,0.93,0.546
0.04,98.2,0.934,0.938,8.25,95.5,97.39,0.96,0.677
0.86,50.91,0.425,0.436,1.89,39.09,44.42,0.65,0.512
0.18,90.6,0.778,0.798,8.06,71.79,85.43,0.91,0.532
0.08,87.17,0.9,0.908,13.52,74.35,97.67,0.94,0.675
0.04,95.0,0.654,0.659,5.42,80.0,89.11,0.92,0.452
0.08,85.43,0.888,0.897,12.52,73.48,97.4,0.94,0.673
1.27,38.82,0.35,0.372,1.38,27.06,38.65,0.87,0.462
0.07,85.0,0.884,0.895,12.56,74.57,98.04,0.94,0.68
0.19,68.18,0.599,0.593,4.4,60.91,85.09,0.9,0.544
0.07,97.44,0.964,0.963,8.37,96.58,98.44,0.97,0.69
1.53,27.06,0.275,0.27,0.45,22.35,27.51,0.54,0.421
0.08,83.48,0.881,0.893,12.41,74.57,98.42,0.94,0.677
0.04,97.3,0.939,0.941,8.14,95.5,97.22,0.96,0.693
0.18,92.31,0.861,0.861,7.74,88.89,90.25,0.93,0.405
0.16,94.87,0.821,0.824,7.95,84.62,88.92,0.93,0.496
0.07,97.44,0.957,0.957,8.37,96.58,98.03,0.97,0.662
0.52,57.83,0.624,0.625,7.55,36.3,71.02,0.75,0.29
0.03,98.33,0.748,0.766,5.93,90.0,93.01,0.94,0.479
0.63,57.26,0.525,0.527,3.27,46.15,55.54,0.74,0.176
0.07,97.44,0.966,0.964,8.37,96.58,98.49,0.97,0.697
0.68,35.88,0.347,0.359,1.7,32.35,43.16,0.67,0.46
0.04,75.0,0.597,0.601,2.54,63.33,87.07,0.93,0.523
1.11,0.0,0.328,0.373,-0.01,0.0,18.37,0.62,0.174
0.07,86.09,0.893,0.901,13.06,73.91,98.14,0.94,0.683
0.06,99.1,0.928,0.934,8.36,96.4,94.41,0.95,0.591
0.17,79.09,0.644,0.64,5.82,69.09,84.0,0.94,0.577
0.04,96.41,0.915,0.915,9.94,91.62,96.73,0.96,0.711
0.23,90.99,0.815,0.82,7.6,85.59,86.58,0.89,0.429
0.08,87.39,0.901,0.909,13.17,75.43,97.29,0.94,0.685
0.04,93.33,0.718,0.718,5.93,71.67,91.74,0.91,0.461
0.03,100.0,0.807,0.807,6.1,95.0,94.66,0.94,0.498
0.06,97.44,0.958,0.958,8.37,96.58,98.24,0.97,0.701
0.07,96.83,0.966,0.966,10.91,95.48,97.97,0.97,0.606
0.18,90.6,0.788,0.806,7.95,71.79,85.98,0.92,0.538
0.56,59.46,0.518,0.528,3.06,21.62,56.04,0.86,0.243
0.04,65.0,0.579,0.577,2.54,60.0,86.4,0.93,0.545
0.03,98.33,0.781,0.784,5.93,90.0,86.18,0.92,0.471
0.07,97.44,0.962,0.96,8.37,96.58,98.19,0.97,0.689
0.07,86.67,0.693,0.69,4.57,80.0,82.62,0.89,0.412
1.54,27.35,0.245,0.287,-0.8,2.56,37.42,0.53,0.09
1.46,35.88,0.335,0.345,1.62,32.35,38.87,0.87,0.51
1.42,1.18,0.15,0.213,-1.39,0.0,20.61,0.54,0.153
0.06,68.86,0.681,0.718,6.0,64.67,88.9,0.91,0.592
0.07,97.44,0.938,0.938,8.37,96.58,96.94,0.96,0.666
0.05,93.41,0.903,0.902,9.3,91.62,96.63,0.96,0.671
0.07,96.38,0.95,0.95,10.91,95.48,97.4,0.96,0.695
0.04,99.1,0.941,0.941,8.36,96.4,96.99,0.96,0.557
0.14,93.16,0.877,0.881,7.85,83.76,93.56,0.94,0.586
0.53,31.76,0.325,0.327,0.83,26.47,44.57,0.9,0.469
0.04,98.2,0.926,0.93,8.25,95.5,97.09,0.95,0.68
1.42,35.88,0.333,0.344,1.62,31.76,37.93,0.86,0.401
0.32,35.88,0.368,0.367,1.46,30.59,46.29,0.88,0.484
0.73,64.07,0.661,0.665,5.36,64.07,85.8,0.75,0.596
0.17,92.31,0.823,0.829,7.95,77.78,87.74,0.92,0.55
0.03,100.0,0.937,0.937,6.1,98.33,97.3,0.97,0.579
0.05,96.83,0.968,0.968,10.91,95.93,98.56,0.97,0.744
0.03,90.0,0.679,0.687,5.93,75.0,87.94,0.95,0.395
0.05,97.29,0.971,0.971,10.91,95.93,98.83,0.97,0.772
0.91,27.65,0.259,0.27,0.27,22.94,32.52,0.7,0.425
0.05,96.83,0.97,0.97,10.97,95.93,98.74,0.97,0.756
0.04,97.3,0.939,0.941,8.14,95.5,97.22,0.96,0.693
