DFM,AL4_P,TM-score,TM-align,Z-score,AL0_P,QCS,Handed.,SS
0.08,85.87,0.892,0.901,13.02,74.13,98.22,0.94,0.688
0.08,85.65,0.881,0.891,12.18,73.04,98.41,0.94,0.686
0.06,88.04,0.894,0.897,13.25,72.83,97.37,0.94,0.675
0.04,98.2,0.934,0.936,8.25,95.5,97.3,0.96,0.695
0.04,98.2,0.926,0.929,8.25,95.5,96.97,0.95,0.665
0.17,93.16,0.802,0.805,7.95,82.91,88.2,0.92,0.518
0.96,42.35,0.404,0.403,2.49,38.24,48.51,0.9,0.481
0.46,61.82,0.553,0.547,3.64,57.27,57.88,0.85,0.553
0.16,72.73,0.6,0.597,5.49,59.09,81.02,0.93,0.582
0.04,98.2,0.917,0.92,8.25,95.5,97.02,0.95,0.683
0.04,98.2,0.941,0.945,8.25,95.5,97.67,0.96,0.695
0.06,97.44,0.959,0.959,8.37,96.58,98.31,0.97,0.694
0.63,48.82,0.467,0.494,3.36,46.47,45.54,0.89,0.471
0.08,90.43,0.912,0.916,13.63,76.52,97.61,0.94,0.631
0.04,98.2,0.943,0.946,8.25,95.5,97.76,0.96,0.716
0.08,91.82,0.869,0.871,7.45,90.0,96.11,0.97,0.695
0.01,98.8,0.95,0.95,10.1,97.6,98.58,0.98,0.743
0.07,86.96,0.895,0.901,12.9,74.35,98.12,0.94,0.682
0.01,99.4,0.949,0.949,10.18,98.2,98.51,0.98,0.754
0.08,97.44,0.956,0.955,8.37,96.58,97.84,0.97,0.679
0.08,85.65,0.879,0.891,12.33,73.48,97.54,0.94,0.676
0.04,100.0,0.704,0.704,6.1,86.67,89.4,0.94,0.455
1.13,44.71,0.421,0.413,2.81,40.0,46.49,0.92,0.518
0.2,62.73,0.578,0.578,4.29,59.09,70.29,0.86,0.526
0.04,98.2,0.929,0.933,8.25,95.5,97.35,0.95,0.679
0.06,80.0,0.596,0.593,3.89,68.33,73.3,0.89,0.434
0.07,82.61,0.869,0.887,12.02,73.91,98.33,0.94,0.684
0.18,90.6,0.8,0.816,8.06,72.65,86.25,0.92,0.544
0.02,98.8,0.928,0.928,10.1,96.41,97.88,0.97,0.695
0.01,98.8,0.945,0.945,10.02,97.6,98.45,0.98,0.746
0.05,98.2,0.931,0.935,8.25,95.5,97.53,0.96,0.67
0.07,90.91,0.864,0.863,7.34,89.09,94.41,0.97,0.65
1.23,26.35,0.284,0.342,0.55,11.98,57.54,0.6,0.229
0.19,67.27,0.579,0.582,4.62,59.09,81.44,0.87,0.545
0.16,94.87,0.821,0.824,7.95,84.62,88.92,0.93,0.496
0.07,58.82,0.582,0.571,4.71,57.65,78.28,0.97,0.583
0.05,96.83,0.971,0.971,10.91,95.93,98.82,0.97,0.759
0.93,45.29,0.435,0.447,3.12,42.35,47.41,0.92,0.517
0.13,94.87,0.876,0.884,8.16,88.89,92.85,0.94,0.564
0.04,98.2,0.934,0.937,8.25,95.5,97.32,0.96,0.679
0.99,48.18,0.434,0.442,2.22,42.73,47.15,0.63,0.525
0.03,93.41,0.897,0.894,9.38,91.02,98.03,0.96,0.706
0.18,90.6,0.8,0.816,8.06,72.65,86.25,0.92,0.544
1.27,35.29,0.311,0.311,1.3,26.47,30.13,0.56,0.451
0.18,91.45,0.811,0.817,8.06,74.36,86.96,0.92,0.547
0.09,96.38,0.937,0.937,10.91,94.12,95.95,0.95,0.623
0.03,98.33,0.739,0.739,6.1,86.67,93.12,0.93,0.467
0.11,90.65,0.906,0.906,13.21,75.65,94.24,0.94,0.57
0.03,98.2,0.943,0.946,8.25,95.5,97.76,0.96,0.733
0.22,52.73,0.447,0.442,3.09,34.55,63.68,0.88,0.518
0.19,77.84,0.783,0.794,7.29,74.25,93.15,0.92,0.66
0.04,75.0,0.57,0.578,3.04,60.0,87.18,0.93,0.541
0.05,96.83,0.972,0.972,10.97,95.93,98.81,0.97,0.745
0.06,97.3,0.907,0.91,8.03,95.5,93.95,0.94,0.53
0.07,97.44,0.964,0.963,8.37,96.58,98.5,0.97,0.689
0.18,90.6,0.782,0.802,7.95,71.79,85.54,0.91,0.53
0.05,97.29,0.97,0.97,10.91,95.93,98.73,0.97,0.762
0.06,98.33,0.639,0.639,5.76,73.33,78.95,0.9,0.403
0.13,94.87,0.876,0.884,8.16,88.89,92.85,0.94,0.564
0.04,98.2,0.942,0.945,8.25,95.5,97.74,0.96,0.726
0.08,97.44,0.961,0.96,8.47,96.58,98.07,0.97,0.636
0.04,75.0,0.623,0.608,3.72,63.33,84.39,0.93,0.531
0.07,97.44,0.963,0.962,8.37,96.58,98.45,0.97,0.678
0.33,88.69,0.887,0.884,9.73,87.78,96.41,0.88,0.671
1.28,27.06,0.265,0.272,0.51,23.53,31.33,0.56,0.426
0.06,96.83,0.968,0.968,10.91,95.93,98.55,0.97,0.753
0.04,98.2,0.942,0.945,8.25,95.5,97.7,0.96,0.718
0.18,94.87,0.826,0.835,7.95,82.91,88.9,0.93,0.433
0.15,96.58,0.829,0.832,8.06,84.62,89.03,0.93,0.561
1.09,36.47,0.331,0.332,1.7,30.59,34.52,0.59,0.479
0.04,98.2,0.942,0.945,8.25,95.5,97.68,0.96,0.676
0.07,91.82,0.88,0.881,7.56,90.91,95.84,0.98,0.655
0.08,97.44,0.953,0.951,8.47,96.58,97.75,0.97,0.663
0.08,85.65,0.884,0.893,12.6,74.57,98.85,0.94,0.685
0.01,97.6,0.941,0.941,9.94,97.6,98.55,0.98,0.742
0.17,56.36,0.511,0.512,2.77,42.73,62.63,0.92,0.47
0.13,94.57,0.925,0.922,10.64,89.14,96.84,0.94,0.616
1.24,32.94,0.326,0.327,0.83,15.88,41.81,0.87,0.51
0.01,97.01,0.928,0.928,9.94,94.61,98.29,0.97,0.738
0.05,88.33,0.667,0.667,5.93,71.67,87.29,0.93,0.37
0.25,89.14,0.871,0.869,9.86,84.62,92.77,0.92,0.459
0.14,95.73,0.849,0.849,8.16,88.03,91.81,0.94,0.549
0.18,93.16,0.805,0.818,7.85,80.34,87.44,0.92,0.517
0.15,68.18,0.547,0.543,4.51,54.55,81.06,0.91,0.527
0.78,0.0,0.18,0.187,-1.08,0.0,14.08,0.64,0.124
0.18,90.6,0.782,0.802,7.95,71.79,85.55,0.91,0.529
0.18,93.16,0.805,0.818,7.85,80.34,87.44,0.92,0.517
0.16,79.09,0.631,0.627,5.82,70.0,82.99,0.93,0.56
0.08,90.91,0.864,0.863,7.34,89.09,94.54,0.97,0.577
0.2,46.47,0.418,0.418,3.12,39.41,50.0,0.91,0.503
0.04,98.2,0.935,0.938,8.25,95.5,97.34,0.96,0.688
0.05,96.83,0.972,0.972,10.91,95.93,98.96,0.97,0.781
1.02,0.0,0.121,0.178,-2.35,0.0,8.79,0.6,0.073
0.02,92.81,0.889,0.886,9.54,89.82,98.09,0.97,0.755
1.51,0.0,0.209,0.261,-1.52,0.0,30.55,0.54,0.091
0.06,95.93,0.967,0.967,10.91,95.93,98.66,0.97,0.739
0.01,97.6,0.94,0.94,9.94,97.01,98.46,0.98,0.736
0.24,85.59,0.722,0.73,6.74,73.87,67.44,0.9,0.262
0.07,97.44,0.963,0.961,8.37,96.58,98.41,0.97,0.689
0.04,98.2,0.915,0.918,8.25,95.5,96.96,0.95,0.688
0.32,35.88,0.368,0.367,1.46,30.59,46.29,0.88,0.484
1.46,35.88,0.335,0.345,1.62,32.35,38.87,0.87,0.51
0.05,96.83,0.968,0.967,10.91,95.02,98.6,0.97,0.732
0.08,86.96,0.896,0.905,13.21,75.22,98.24,0.94,0.684
0.04,78.33,0.616,0.624,4.4,68.33,88.75,0.93,0.537
0.19,67.27,0.582,0.578,4.73,58.18,77.98,0.93,0.579
0.05,96.83,0.968,0.968,10.91,95.48,98.95,0.97,0.759
0.03,98.2,0.945,0.948,8.25,95.5,97.81,0.96,0.723
0.03,98.33,0.865,0.865,5.93,93.33,93.31,0.95,0.532
0.12,51.67,0.436,0.431,1.01,46.67,44.91,0.83,0.426
0.81,50.59,0.472,0.465,3.52,49.41,53.07,0.92,0.517
0.05,96.38,0.971,0.971,10.91,95.93,98.7,0.97,0.74
0.03,98.2,0.95,0.952,8.25,95.5,97.95,0.96,0.743
0.07,59.41,0.596,0.581,4.87,58.82,77.31,0.97,0.596
0.17,66.36,0.601,0.6,4.4,60.0,81.45,0.93,0.558
0.32,86.88,0.856,0.865,9.53,81.45,85.43,0.9,0.43
0.04,98.2,0.944,0.947,8.25,95.5,97.79,0.96,0.726
0.57,82.63,0.806,0.815,8.01,80.84,90.4,0.87,0.624
0.88,44.12,0.416,0.413,2.89,41.18,46.1,0.79,0.529
0.02,98.8,0.928,0.928,10.1,96.41,97.88,0.97,0.695
0.04,100.0,0.79,0.79,6.1,93.33,85.29,0.92,0.435
0.06,96.38,0.966,0.965,10.91,95.93,98.47,0.97,0.764
0.09,87.17,0.906,0.912,13.52,75.65,97.46,0.95,0.678
0.13,90.91,0.839,0.84,7.34,86.36,91.46,0.97,0.675
0.42,73.33,0.539,0.535,3.04,60.0,58.3,0.77,0.321
0.66,54.7,0.461,0.5,2.64,18.8,57.45,0.76,0.211
0.06,95.93,0.966,0.966,10.84,95.93,98.51,0.97,0.731
0.08,87.17,0.905,0.912,13.56,73.7,97.74,0.94,0.633
0.01,97.6,0.943,0.943,9.86,97.01,98.61,0.98,0.752
0.04,100.0,0.704,0.704,6.1,86.67,89.4,0.94,0.455
0.07,97.44,0.963,0.961,8.37,96.58,98.41,0.97,0.689
0.04,98.2,0.944,0.947,8.25,95.5,97.6,0.96,0.734
1.42,33.53,0.323,0.318,1.06,30.0,35.24,0.77,0.491
0.16,94.87,0.821,0.824,7.95,84.62,88.92,0.93,0.496
0.04,98.2,0.944,0.947,8.25,95.5,97.84,0.96,0.723
0.04,98.2,0.934,0.938,8.25,95.5,97.39,0.96,0.677
1.44,0.0,0.29,0.303,-1.03,0.0,17.86,0.57,0.298
0.33,88.69,0.85,0.849,9.79,83.26,91.89,0.86,0.365
0.73,35.88,0.343,0.354,1.7,29.41,41.87,0.67,0.382
0.1,71.67,0.571,0.567,3.04,51.67,55.57,0.86,0.375
0.08,85.65,0.888,0.897,12.52,73.26,97.5,0.94,0.672
1.1,30.59,0.288,0.286,0.67,23.53,30.71,0.58,0.441
0.04,98.2,0.942,0.945,8.25,95.5,97.8,0.96,0.704
1.53,27.65,0.275,0.27,0.45,21.76,27.51,0.53,0.441
0.14,96.58,0.845,0.848,8.16,89.74,90.22,0.93,0.573
0.31,82.05,0.636,0.667,5.35,51.28,72.58,0.85,0.306
0.04,98.2,0.934,0.937,8.25,95.5,97.31,0.96,0.692
0.08,87.17,0.897,0.905,13.4,74.35,96.96,0.94,0.68
0.35,65.87,0.678,0.669,5.28,63.47,86.81,0.77,0.649
0.19,67.27,0.582,0.578,4.73,58.18,77.98,0.93,0.579
0.16,96.58,0.843,0.849,8.16,85.47,91.42,0.93,0.525
0.04,98.2,0.942,0.945,8.25,95.5,97.26,0.96,0.687
0.06,94.57,0.953,0.953,10.64,93.21,98.45,0.96,0.726
0.05,96.83,0.969,0.969,10.91,95.48,98.94,0.97,0.777
0.04,95.21,0.916,0.918,9.78,93.41,97.2,0.96,0.694
0.04,98.2,0.937,0.94,8.25,95.5,97.21,0.96,0.652
1.75,0.0,0.249,0.259,-0.48,0.0,30.63,0.55,0.079
0.15,71.82,0.617,0.611,5.27,65.45,77.09,0.94,0.514
0.24,40.0,0.399,0.403,2.41,25.88,50.66,0.88,0.481
0.14,97.44,0.831,0.833,8.26,86.32,89.69,0.93,0.562
0.39,52.73,0.442,0.451,1.13,25.45,65.55,0.88,0.425
0.24,89.14,0.867,0.868,9.79,83.71,93.32,0.91,0.407
0.16,93.16,0.827,0.842,7.74,76.07,87.69,0.92,0.558
0.05,96.83,0.969,0.969,10.91,95.48,98.72,0.97,0.754
0.09,97.44,0.931,0.93,8.37,96.58,96.74,0.96,0.649
0.06,97.3,0.864,0.863,8.14,93.69,96.58,0.94,0.587
0.18,91.45,0.801,0.816,8.16,71.79,86.39,0.92,0.55
0.09,87.17,0.9,0.907,13.56,74.13,97.47,0.94,0.678
0.04,100.0,0.818,0.818,6.1,96.67,91.9,0.95,0.505
0.2,69.09,0.628,0.622,4.51,61.82,86.11,0.93,0.572
0.09,78.33,0.606,0.619,3.04,70.0,71.38,0.88,0.436
0.04,100.0,0.815,0.815,6.1,96.67,92.44,0.95,0.458
0.04,75.0,0.566,0.568,2.37,60.0,85.82,0.93,0.557
0.06,97.29,0.97,0.97,10.97,95.93,98.76,0.97,0.761
1.51,35.33,0.313,0.331,1.27,22.16,49.99,0.54,0.167
0.09,98.29,0.849,0.849,8.47,88.89,90.88,0.94,0.51
0.01,95.21,0.919,0.919,9.78,92.81,98.27,0.97,0.747
0.05,96.83,0.968,0.968,10.91,95.93,98.82,0.97,0.76
0.05,96.83,0.973,0.973,10.91,95.93,99.0,0.97,0.783
0.1,86.36,0.755,0.752,6.8,77.27,89.45,0.92,0.526
0.17,70.0,0.526,0.526,3.04,61.67,49.36,0.86,0.395
0.06,96.83,0.965,0.965,10.91,95.48,98.34,0.97,0.75
0.06,77.25,0.781,0.798,7.37,73.05,95.13,0.94,0.607
0.03,98.33,0.793,0.793,5.93,88.33,93.14,0.94,0.535
1.5,36.47,0.332,0.332,1.7,30.59,35.25,0.64,0.454
0.78,0.0,0.18,0.187,-1.08,0.0,14.08,0.64,0.124
1.77,29.41,0.319,0.335,0.83,23.53,34.87,0.87,0.441
0.2,46.36,0.414,0.413,1.46,38.18,55.97,0.79,0.507
0.32,0.0,0.388,0.405,0.84,0.0,26.25,0.8,0.204
0.82,56.89,0.572,0.574,4.64,47.9,81.2,0.72,0.376
0.04,98.2,0.928,0.932,8.25,95.5,97.25,0.95,0.672
0.05,95.21,0.9,0.9,9.78,89.22,95.77,0.96,0.686
0.17,92.31,0.823,0.829,7.95,77.78,87.74,0.92,0.55
0.03,100.0,0.863,0.863,6.1,93.33,96.27,0.94,0.487
0.07,86.09,0.893,0.901,13.06,73.91,98.14,0.94,0.683
0.03,73.33,0.562,0.561,3.21,56.67,87.47,0.93,0.523
0.07,97.44,0.966,0.965,8.47,96.58,98.44,0.97,0.686
0.27,63.64,0.591,0.585,4.07,59.09,76.49,0.91,0.522
0.07,97.44,0.962,0.96,8.37,96.58,98.32,0.97,0.71
0.37,61.08,0.571,0.615,5.04,44.91,83.27,0.86,0.493
0.05,96.41,0.898,0.898,9.86,89.22,95.4,0.96,0.658
0.18,90.6,0.788,0.806,8.06,71.79,86.0,0.92,0.538
0.23,49.09,0.473,0.475,1.57,38.18,62.49,0.89,0.457
0.38,68.86,0.657,0.684,6.25,57.49,83.93,0.87,0.533
0.01,97.6,0.941,0.941,9.94,96.41,98.72,0.97,0.734
0.17,93.16,0.823,0.829,8.06,77.78,87.23,0.92,0.547
0.12,73.05,0.734,0.757,6.81,68.86,90.99,0.89,0.649
0.31,53.64,0.438,0.476,2.33,39.09,68.43,0.86,0.471
0.05,97.29,0.97,0.97,10.97,95.93,98.68,0.97,0.745
0.14,72.73,0.635,0.629,5.27,68.18,74.69,0.93,0.525
0.23,71.82,0.615,0.609,5.05,61.82,77.32,0.92,0.342
0.16,96.58,0.852,0.855,8.06,87.18,87.58,0.94,0.585
0.07,86.52,0.894,0.903,12.98,74.35,98.26,0.94,0.688
0.04,97.6,0.881,0.881,9.86,94.01,96.0,0.96,0.626
0.27,92.31,0.753,0.78,7.74,77.78,80.52,0.91,0.294
0.36,88.03,0.744,0.782,7.12,66.67,79.2,0.88,0.341
0.07,97.44,0.965,0.964,8.37,96.58,98.5,0.97,0.686
0.2,74.55,0.644,0.639,5.49,68.18,79.54,0.93,0.568
0.13,96.58,0.891,0.897,8.16,90.6,93.23,0.94,0.597
0.03,100.0,0.765,0.765,6.1,93.33,94.0,0.95,0.559
0.18,90.6,0.788,0.805,8.06,71.79,86.22,0.92,0.535
0.17,91.45,0.809,0.819,7.95,74.36,87.01,0.92,0.555
0.07,87.83,0.906,0.911,13.44,76.52,98.07,0.95,0.682
0.18,91.45,0.81,0.821,7.95,72.65,86.78,0.92,0.537
1.8,22.75,0.221,0.229,0.06,13.17,44.21,0.55,0.197
0.53,68.38,0.579,0.6,4.72,44.44,61.71,0.82,0.241
0.25,47.27,0.421,0.42,1.68,28.18,56.24,0.9,0.413
0.35,84.62,0.841,0.848,9.27,79.19,87.18,0.89,0.418
0.06,97.44,0.96,0.96,8.37,96.58,98.2,0.97,0.705
0.06,97.44,0.96,0.96,8.37,96.58,98.2,0.97,0.705
0.07,97.44,0.943,0.943,8.37,96.58,97.43,0.96,0.664
0.07,90.91,0.864,0.864,7.34,89.09,94.56,0.98,0.654
0.08,87.61,0.908,0.914,13.67,75.22,97.62,0.95,0.681
0.25,89.14,0.871,0.869,9.86,84.62,92.77,0.92,0.459
0.08,86.96,0.896,0.904,12.98,74.13,97.33,0.94,0.676
0.18,90.6,0.789,0.806,7.95,71.79,86.27,0.92,0.535
0.07,97.44,0.963,0.961,8.37,96.58,98.41,0.97,0.689
0.18,58.82,0.555,0.554,4.71,57.06,61.89,0.95,0.565
0.05,96.83,0.968,0.967,10.91,95.93,98.72,0.97,0.754
0.07,86.96,0.894,0.903,13.02,74.78,98.3,0.94,0.684
1.5,0.0,0.25,0.371,1.43,0.0,29.92,0.52,0.101
0.58,80.24,0.776,0.787,7.85,74.25,87.99,0.86,0.589
0.14,95.73,0.849,0.849,8.16,88.03,91.81,0.94,0.549
0.72,40.0,0.37,0.372,1.57,29.09,39.33,0.71,0.445
0.18,91.45,0.815,0.823,7.95,75.21,86.93,0.92,0.551
0.07,97.44,0.941,0.94,8.37,96.58,97.35,0.96,0.668
0.03,76.67,0.623,0.632,4.57,68.33,89.3,0.93,0.531
0.08,86.3,0.889,0.898,12.87,73.91,98.43,0.94,0.688
0.07,57.65,0.584,0.575,4.63,55.88,77.94,0.97,0.521
0.55,42.35,0.407,0.403,2.41,38.24,52.53,0.87,0.485
0.32,0.0,0.388,0.405,0.84,0.0,26.25,0.8,0.204
0.05,97.01,0.895,0.895,9.94,91.02,95.24,0.96,0.653
0.35,43.53,0.422,0.441,3.2,38.24,54.8,0.91,0.523
0.27,58.48,0.647,0.639,8.27,46.96,84.87,0.75,0.503
0.19,88.29,0.709,0.727,6.84,68.47,69.96,0.9,0.293
0.06,80.0,0.596,0.593,3.89,68.33,73.3,0.89,0.434
0.05,97.29,0.97,0.97,10.97,95.93,98.75,0.97,0.765
0.13,94.02,0.882,0.887,7.85,88.03,92.01,0.94,0.552
0.14,96.58,0.834,0.834,8.26,86.32,91.37,0.93,0.547
0.03,98.2,0.951,0.953,8.25,95.5,98.2,0.97,0.706
0.18,88.89,0.793,0.796,7.54,78.63,86.95,0.91,0.466
0.18,90.6,0.797,0.808,8.06,72.65,86.42,0.92,0.542
0.78,0.0,0.18,0.187,-1.08,0.0,14.08,0.64,0.124
0.07,97.44,0.965,0.964,8.37,96.58,98.5,0.97,0.686
0.11,59.41,0.584,0.571,4.87,58.24,80.68,0.96,0.61
0.19,71.82,0.622,0.616,5.27,66.36,78.66,0.92,0.552
0.03,98.2,0.944,0.947,8.25,95.5,97.76,0.96,0.734
0.41,30.91,0.29,0.346,0.59,23.64,40.64,0.74,0.431
0.08,86.3,0.89,0.901,12.75,74.78,97.69,0.94,0.683
0.59,38.82,0.391,0.382,1.86,32.94,48.71,0.91,0.493
0.05,96.83,0.967,0.967,10.91,95.93,98.51,0.97,0.752
0.04,98.2,0.933,0.935,8.25,95.5,97.7,0.96,0.678
0.04,96.67,0.661,0.661,5.93,81.67,89.69,0.91,0.458
0.07,82.61,0.869,0.887,12.02,73.91,98.33,0.94,0.684
0.57,64.07,0.65,0.66,5.6,60.48,83.91,0.75,0.552
0.04,98.2,0.938,0.94,8.25,95.5,97.49,0.96,0.687
0.05,96.83,0.972,0.972,10.91,95.93,98.97,0.97,0.783
0.24,38.24,0.393,0.386,1.94,28.24,48.56,0.91,0.51
0.05,96.83,0.97,0.97,10.91,95.93,98.9,0.97,0.771
0.18,91.45,0.814,0.82,7.95,75.21,87.0,0.92,0.534
0.31,76.92,0.622,0.663,5.45,44.44,72.84,0.86,0.259
1.27,28.74,0.315,0.41,1.67,14.37,55.0,0.56,0.193
1.74,0.0,0.185,0.233,-0.92,0.0,20.75,0.62,0.221
0.06,96.38,0.967,0.967,10.91,95.93,98.65,0.97,0.749
0.07,97.44,0.942,0.942,8.37,96.58,96.89,0.96,0.661
0.14,90.91,0.831,0.832,7.34,87.27,95.6,0.97,0.678
0.12,90.91,0.841,0.84,7.56,88.18,95.71,0.97,0.652
0.2,64.55,0.565,0.562,4.51,58.18,73.79,0.87,0.555
0.17,94.87,0.814,0.818,8.26,81.2,88.88,0.93,0.526
0.04,88.33,0.634,0.635,4.4,71.67,88.57,0.93,0.489
0.18,88.89,0.794,0.796,7.54,78.63,86.98,0.91,0.465
1.51,0.0,0.209,0.261,-1.52,0.0,30.55,0.54,0.091
0.07,98.29,0.948,0.946,8.47,97.44,97.36,0.96,0.672
0.02,99.4,0.946,0.946,10.18,97.01,98.21,0.97,0.702
0.02,99.4,0.936,0.936,10.1,97.01,98.25,0.97,0.723
1.78,0.0,0.214,0.256,-1.32,0.0,28.99,0.54,0.119
0.07,91.82,0.88,0.881,7.56,90.91,95.84,0.98,0.655
1.11,0.0,0.247,0.32,-0.86,0.0,27.93,0.64,0.128
0.01,98.2,0.94,0.94,9.94,97.6,98.5,0.98,0.766
0.23,51.82,0.475,0.485,1.89,40.0,62.11,0.91,0.425
0.06,97.29,0.964,0.964,10.91,94.12,98.07,0.97,0.754
0.21,55.88,0.518,0.514,4.31,50.0,53.55,0.91,0.49
0.08,87.39,0.893,0.901,13.29,73.91,98.38,0.94,0.689
0.04,98.2,0.936,0.939,8.25,95.5,97.27,0.96,0.684
0.04,98.2,0.943,0.946,8.25,95.5,97.77,0.96,0.7
0.91,23.26,0.362,0.4,1.5,9.78,65.27,0.68,0.163
0.08,97.44,0.93,0.929,8.37,96.58,96.74,0.96,0.647
0.23,71.82,0.646,0.64,5.27,66.36,82.98,0.93,0.582
0.16,65.65,0.749,0.778,9.0,48.04,96.29,0.9,0.537
0.04,97.3,0.939,0.941,8.14,95.5,97.22,0.96,0.693
0.08,86.96,0.906,0.913,13.71,75.22,97.56,0.95,0.682
0.07,82.83,0.865,0.884,12.06,73.91,97.97,0.94,0.673
0.91,0.0,0.338,0.35,0.37,0.0,43.49,0.6,0.512
0.01,98.8,0.945,0.945,10.1,97.6,98.52,0.98,0.755
0.05,98.2,0.935,0.938,8.25,95.5,97.1,0.96,0.607
0.05,96.83,0.967,0.967,10.91,95.93,98.75,0.97,0.756
0.05,78.33,0.616,0.611,3.72,71.67,73.16,0.92,0.451
0.04,95.81,0.914,0.914,9.86,93.41,96.42,0.97,0.707
0.72,59.28,0.571,0.575,4.56,49.1,81.78,0.72,0.36
0.13,95.73,0.903,0.908,8.06,89.74,92.48,0.95,0.577
0.17,95.73,0.829,0.837,8.26,86.32,89.92,0.93,0.533
0.2,53.53,0.499,0.501,4.23,48.82,66.88,0.94,0.526
0.04,96.67,0.784,0.787,5.76,88.33,86.11,0.92,0.466
0.66,47.27,0.428,0.421,2.11,35.45,49.08,0.79,0.483
0.09,53.33,0.443,0.437,1.01,46.67,59.65,0.83,0.401
0.05,96.41,0.907,0.907,9.86,91.62,95.94,0.96,0.673
0.08,86.74,0.897,0.904,13.13,73.48,97.26,0.94,0.666
0.55,32.94,0.306,0.312,0.91,21.76,33.96,0.6,0.392
0.15,96.58,0.831,0.833,8.06,84.62,89.15,0.93,0.559
0.34,73.05,0.72,0.738,6.81,69.46,89.16,0.89,0.683
0.23,87.78,0.846,0.843,9.6,81.9,93.89,0.89,0.53
0.78,0.0,0.18,0.187,-1.08,0.0,14.08,0.64,0.124
0.24,31.18,0.298,0.294,0.75,25.29,40.57,0.86,0.385
0.18,66.36,0.567,0.562,4.51,57.27,81.05,0.9,0.568
0.07,96.83,0.964,0.964,10.97,95.93,96.99,0.96,0.481
0.04,98.2,0.939,0.942,8.25,95.5,97.5,0.96,0.709
1.27,35.29,0.311,0.311,1.3,26.47,30.13,0.56,0.451
0.04,98.2,0.942,0.945,8.25,95.5,97.72,0.96,0.718
0.16,96.58,0.845,0.85,8.16,88.03,91.56,0.93,0.52
0.05,96.83,0.971,0.971,10.97,95.93,98.63,0.97,0.742
0.06,84.68,0.704,0.719,5.98,69.37,91.71,0.9,0.572
0.14,58.82,0.594,0.58,4.71,57.65,81.89,0.96,0.592
0.01,100.0,0.969,0.969,10.18,99.4,98.6,0.98,0.745
0.17,95.73,0.83,0.835,8.06,86.32,90.37,0.93,0.541
0.04,95.0,0.659,0.664,6.1,71.67,91.67,0.92,0.44
1.15,68.18,0.616,0.612,4.51,62.73,64.94,0.83,0.556
0.17,92.31,0.823,0.829,7.95,77.78,87.74,0.92,0.55
0.04,100.0,0.79,0.79,6.1,93.33,85.29,0.92,0.435
0.09,86.52,0.9,0.908,13.17,75.0,96.03,0.94,0.49
0.03,100.0,0.765,0.765,6.1,93.33,94.0,0.95,0.559
0.3,60.43,0.656,0.65,9.0,48.48,85.44,0.73,0.658
0.1,50.0,0.422,0.416,1.01,43.33,38.36,0.86,0.441
0.04,61.67,0.536,0.532,2.03,58.33,82.02,0.92,0.472
0.59,80.24,0.771,0.782,7.61,74.25,87.61,0.86,0.592
0.4,59.35,0.631,0.629,7.78,37.61,73.48,0.75,0.305
0.09,91.67,0.623,0.632,4.91,73.33,73.22,0.91,0.437
0.05,96.83,0.974,0.974,10.91,95.93,98.95,0.97,0.772
0.06,95.73,0.953,0.953,8.16,94.02,97.89,0.97,0.701
1.0,31.82,0.303,0.29,0.04,27.27,38.47,0.59,0.512
0.05,96.83,0.97,0.97,10.91,95.93,98.91,0.97,0.765
0.18,61.82,0.554,0.551,3.96,55.45,68.42,0.89,0.5
0.55,45.88,0.443,0.481,3.2,41.18,45.47,0.91,0.504
0.04,98.2,0.914,0.917,8.25,95.5,96.44,0.95,0.656
0.08,90.91,0.864,0.864,7.34,89.09,96.63,0.97,0.65
0.07,97.44,0.944,0.944,8.37,96.58,97.41,0.96,0.681
0.2,50.0,0.451,0.454,2.0,29.09,58.78,0.9,0.421
0.64,57.26,0.524,0.526,3.16,43.59,58.84,0.75,0.231
0.01,97.01,0.942,0.942,9.94,96.41,98.6,0.98,0.753
0.07,93.91,0.922,0.922,13.86,80.87,96.86,0.95,0.472
0.08,82.61,0.872,0.888,12.1,73.48,97.68,0.94,0.682
0.1,86.96,0.892,0.892,12.52,72.83,95.51,0.94,0.581
0.11,97.44,0.863,0.865,8.26,91.45,92.07,0.94,0.599
0.42,65.27,0.658,0.653,5.44,62.87,86.1,0.76,0.568
0.26,58.18,0.488,0.518,2.11,41.82,62.84,0.89,0.367
0.03,98.33,0.731,0.731,5.93,93.33,82.44,0.93,0.541
0.68,63.47,0.622,0.626,5.44,59.88,82.08,0.73,0.356
0.13,90.91,0.814,0.815,7.34,88.18,94.97,0.97,0.685
0.18,62.73,0.584,0.58,4.51,54.55,80.06,0.88,0.505
0.04,98.2,0.936,0.939,8.25,95.5,97.36,0.96,0.705
0.03,92.81,0.894,0.894,8.89,91.02,98.09,0.96,0.692
0.04,98.2,0.94,0.944,8.25,95.5,97.57,0.96,0.706
0.66,47.27,0.428,0.421,2.11,35.45,49.08,0.79,0.483
0.06,88.33,0.613,0.614,4.23,70.0,74.13,0.9,0.454
0.07,97.44,0.963,0.961,8.37,96.58,98.41,0.97,0.689
0.07,84.57,0.88,0.89,12.68,74.57,98.5,0.94,0.679
0.72,61.68,0.626,0.629,5.36,60.48,81.55,0.73,0.343
0.17,88.89,0.794,0.797,7.43,77.78,87.09,0.91,0.463
