AL0_P,TM-score,TM-align,AL4_P,QCS,Z-score,Handed.,SS,DFM
0.020644324,0.03934614,0.033083788,0.051409244,0.008432422,0.038023103,0.007465599,0.007921328,0.030657282
0.029495276,0.04933283,0.024023418,0.039093375,0.012281415,0.036998574,0.010468915,0.020933298,0.040545741
0.029470719,0.074520584,0.040119187,0.052129625,0.045554007,0.062578657,0.026859041,0.045237691,0.056868041
0.014323136,0.058808276,0.041039453,0.026007347,0.009670236,0.051308443,0.017716842,0.015937355,0.040331223
0.023807504,0.048704817,0.044492981,0.066429856,0.016503479,0.051800641,0.024158212,0.020917286,0.034878673
