AL0_P,TM-score,TM-align,AL4_P,QCS,Z-score,Handed.,SS,DFM
0.307116721,0.36486613,0.338822856,0.350955407,0.273403236,0.324428998,0.235079727,0.216605412,0.313209938
0.372556966,0.433046973,0.430361301,0.432451364,0.336413202,0.36748267,0.329205841,0.292195759,0.403220169
0.239512198,0.279933118,0.23954002,0.279864069,0.200928856,0.23524776,0.180680644,0.136861732,0.276762308
0.327950338,0.355038466,0.340751338,0.362749341,0.269821776,0.31072605,0.278079941,0.237532507,0.298854143
0.164636442,0.245093442,0.237769176,0.217654166,0.152883757,0.136115188,0.070391326,0.024600241,0.209098665
