AL0_P,TM-score,TM-align,AL4_P,QCS,Z-score,Handed.,SS,DFM,GDT_TS
95.5,0.937,0.94,98.2,97.53,8.25,0.96,0.689,0.04,94.14
95.5,0.941,0.945,98.2,97.77,8.25,0.96,0.703,0.04,94.14
95.5,0.94,0.943,98.2,97.44,8.25,0.96,0.678,0.04,93.92
95.5,0.936,0.939,98.2,97.54,8.25,0.96,0.692,0.04,93.92
95.5,0.935,0.938,98.2,97.34,8.25,0.96,0.688,0.04,93.92
95.5,0.936,0.939,98.2,97.55,8.25,0.96,0.693,0.04,93.92
95.5,0.936,0.939,98.2,97.38,8.25,0.96,0.689,0.04,93.92
95.5,0.936,0.938,98.2,97.43,8.25,0.96,0.696,0.04,93.92
95.5,0.934,0.936,98.2,97.3,8.25,0.96,0.695,0.04,93.92
95.5,0.935,0.938,98.2,97.32,8.25,0.96,0.687,0.04,93.92
95.5,0.934,0.937,98.2,97.32,8.25,0.96,0.679,0.04,93.92
95.5,0.936,0.938,98.2,97.43,8.25,0.96,0.696,0.04,93.92
95.5,0.934,0.937,98.2,97.31,8.25,0.96,0.692,0.04,93.92
95.5,0.94,0.943,98.2,97.44,8.25,0.96,0.678,0.04,93.92
95.5,0.934,0.936,98.2,97.3,8.25,0.96,0.695,0.04,93.92
95.5,0.936,0.939,98.2,97.42,8.25,0.96,0.689,0.04,93.92
95.5,0.935,0.938,98.2,97.34,8.25,0.96,0.697,0.04,93.92
95.5,0.935,0.938,98.2,97.35,8.25,0.96,0.696,0.04,93.92
95.5,0.939,0.941,98.2,97.61,8.25,0.96,0.682,0.04,93.92
95.5,0.934,0.937,98.2,97.32,8.25,0.96,0.679,0.04,93.92
95.5,0.935,0.938,98.2,97.28,8.25,0.96,0.7,0.04,93.92
95.5,0.939,0.941,96.4,97.39,8.25,0.96,0.683,0.04,93.92
95.5,0.936,0.94,98.2,97.47,8.25,0.96,0.688,0.04,93.92
95.5,0.938,0.941,98.2,97.39,8.25,0.96,0.697,0.04,93.92
95.5,0.936,0.939,98.2,97.54,8.25,0.96,0.692,0.04,93.92
95.5,0.934,0.938,98.2,97.28,8.25,0.96,0.683,0.04,93.92
95.5,0.935,0.937,98.2,97.39,8.25,0.96,0.683,0.04,93.92
95.5,0.932,0.936,98.2,95.58,8.14,0.95,0.454,0.05,93.92
95.5,0.931,0.935,98.2,96.95,8.25,0.95,0.45,0.04,93.92
95.5,0.936,0.94,98.2,97.47,8.25,0.96,0.672,0.04,93.92
95.5,0.936,0.939,98.2,97.54,8.25,0.96,0.694,0.04,93.92
95.5,0.94,0.943,98.2,97.71,8.25,0.96,0.704,0.04,93.69
95.5,0.935,0.938,98.2,97.43,8.25,0.96,0.681,0.04,93.69
95.5,0.938,0.942,98.2,97.66,8.25,0.96,0.704,0.03,93.69
95.5,0.935,0.939,98.2,97.39,8.25,0.96,0.672,0.04,93.69
95.5,0.935,0.938,98.2,97.1,8.25,0.96,0.607,0.05,93.69
95.5,0.933,0.937,98.2,97.19,8.25,0.96,0.701,0.04,93.69
95.5,0.932,0.936,98.2,97.48,8.25,0.96,0.69,0.04,93.69
95.5,0.938,0.942,98.2,97.55,8.25,0.96,0.676,0.04,93.69
95.5,0.934,0.937,98.2,97.34,8.25,0.96,0.687,0.04,93.69
95.5,0.93,0.933,98.2,97.39,8.25,0.96,0.673,0.04,93.69
95.5,0.933,0.937,98.2,97.3,8.25,0.96,0.703,0.04,93.69
95.5,0.929,0.933,98.2,97.4,8.25,0.96,0.675,0.04,93.69
95.5,0.929,0.933,98.2,97.4,8.25,0.96,0.675,0.04,93.69
95.5,0.935,0.938,98.2,97.43,8.25,0.96,0.681,0.04,93.69
95.5,0.935,0.938,98.2,97.43,8.25,0.96,0.681,0.04,93.69
95.5,0.933,0.937,98.2,97.05,8.25,0.96,0.707,0.04,93.69
95.5,0.934,0.938,98.2,97.42,8.25,0.96,0.686,0.04,93.69
95.5,0.939,0.94,98.2,97.08,8.14,0.96,0.631,0.04,93.69
95.5,0.934,0.937,98.2,97.28,8.25,0.96,0.703,0.04,93.69
95.5,0.937,0.94,98.2,97.21,8.25,0.96,0.652,0.04,93.69
95.5,0.937,0.941,98.2,97.69,8.25,0.96,0.714,0.04,93.69
95.5,0.936,0.939,98.2,97.55,8.25,0.96,0.7,0.04,93.69
95.5,0.937,0.94,98.2,97.53,8.25,0.96,0.72,0.04,93.69
95.5,0.934,0.936,98.2,97.18,8.25,0.96,0.677,0.04,93.69
95.5,0.938,0.94,98.2,97.13,8.25,0.96,0.664,0.05,93.69
95.5,0.938,0.94,98.2,97.13,8.25,0.96,0.664,0.05,93.69
95.5,0.938,0.94,98.2,97.13,8.25,0.96,0.664,0.05,93.69
95.5,0.937,0.937,98.2,97.28,8.25,0.96,0.675,0.04,93.47
95.5,0.938,0.94,98.2,97.49,8.25,0.96,0.687,0.04,93.47
95.5,0.938,0.94,98.2,97.49,8.25,0.96,0.687,0.04,93.47
95.5,0.938,0.94,98.2,97.49,8.25,0.96,0.687,0.04,93.47
95.5,0.938,0.94,98.2,97.49,8.25,0.96,0.687,0.04,93.47
95.5,0.929,0.933,98.2,97.09,8.25,0.95,0.684,0.04,93.47
95.5,0.935,0.939,98.2,97.61,8.25,0.96,0.697,0.04,93.47
95.5,0.935,0.938,98.2,97.24,8.25,0.96,0.66,0.04,93.47
95.5,0.926,0.93,98.2,97.09,8.25,0.95,0.68,0.04,93.47
95.5,0.931,0.934,98.2,97.28,8.25,0.96,0.69,0.04,93.47
95.5,0.926,0.93,98.2,97.09,8.25,0.95,0.68,0.04,93.47
95.5,0.926,0.93,98.2,97.09,8.25,0.95,0.68,0.04,93.47
95.5,0.929,0.933,98.2,97.09,8.25,0.95,0.684,0.04,93.47
95.5,0.932,0.935,98.2,97.39,8.25,0.96,0.681,0.04,93.47
95.5,0.939,0.942,98.2,97.92,8.25,0.96,0.713,0.04,93.47
94.59,0.937,0.94,97.3,97.29,8.03,0.96,0.667,0.05,93.47
95.5,0.926,0.93,98.2,97.09,8.25,0.95,0.68,0.04,93.47
95.5,0.929,0.933,98.2,97.09,8.25,0.95,0.684,0.04,93.47
95.5,0.935,0.939,98.2,97.61,8.25,0.96,0.697,0.04,93.47
95.5,0.938,0.94,98.2,97.49,8.25,0.96,0.687,0.04,93.47
95.5,0.935,0.939,98.2,97.14,8.25,0.96,0.654,0.04,93.47
95.5,0.937,0.94,98.2,96.74,8.25,0.96,0.571,0.04,93.24
95.5,0.931,0.934,98.2,97.26,8.25,0.96,0.679,0.04,93.24
95.5,0.931,0.935,98.2,97.23,8.25,0.96,0.654,0.04,93.24
95.5,0.93,0.934,98.2,97.25,8.25,0.96,0.678,0.04,93.24
95.5,0.932,0.935,98.2,97.39,8.25,0.96,0.688,0.04,93.24
95.5,0.932,0.935,98.2,97.38,8.25,0.96,0.686,0.04,93.24
95.5,0.935,0.938,98.2,97.46,8.25,0.96,0.716,0.04,93.02
95.5,0.935,0.938,98.2,97.46,8.25,0.96,0.726,0.04,93.02
95.5,0.931,0.934,98.2,97.26,8.25,0.96,0.678,0.04,93.02
97.3,0.935,0.935,98.2,96.7,8.25,0.96,0.564,0.05,93.02
96.4,0.939,0.939,98.2,96.6,8.36,0.96,0.53,0.04,93.02
95.5,0.928,0.932,98.2,97.4,8.25,0.96,0.692,0.04,93.02
95.5,0.93,0.933,96.4,97.28,8.25,0.96,0.673,0.04,93.02
95.5,0.928,0.931,98.2,97.06,8.25,0.95,0.666,0.04,92.79
95.5,0.928,0.933,98.2,97.35,8.25,0.95,0.698,0.04,92.79
95.5,0.932,0.935,98.2,97.39,8.25,0.96,0.693,0.04,92.79
95.5,0.927,0.93,98.2,97.13,8.25,0.95,0.635,0.04,92.79
95.5,0.931,0.935,98.2,97.53,8.25,0.96,0.67,0.05,92.79
95.5,0.929,0.932,98.2,97.26,8.25,0.96,0.667,0.04,92.79
95.5,0.924,0.924,96.4,96.39,8.14,0.95,0.528,0.05,92.79
95.5,0.926,0.929,98.2,97.2,8.25,0.96,0.69,0.04,92.79
95.5,0.928,0.931,98.2,97.2,8.25,0.96,0.623,0.04,92.79
95.5,0.929,0.933,98.2,97.25,8.25,0.95,0.693,0.04,92.57
95.5,0.928,0.931,98.2,97.2,8.25,0.96,0.672,0.04,92.57
95.5,0.928,0.932,98.2,97.25,8.25,0.95,0.672,0.04,92.57
95.5,0.937,0.939,98.2,97.8,8.25,0.96,0.682,0.04,92.57
95.5,0.933,0.935,98.2,97.7,8.25,0.96,0.678,0.04,92.57
95.5,0.929,0.933,98.2,97.25,8.25,0.95,0.693,0.04,92.57
95.5,0.929,0.933,98.2,97.35,8.25,0.95,0.679,0.04,92.57
95.5,0.928,0.932,98.2,97.27,8.25,0.95,0.681,0.04,92.57
95.5,0.931,0.935,98.2,97.53,8.25,0.96,0.67,0.05,92.57
95.5,0.931,0.934,98.2,97.34,8.25,0.95,0.696,0.04,92.57
95.5,0.926,0.929,98.2,97.24,8.25,0.95,0.683,0.04,92.57
95.5,0.925,0.929,98.2,97.21,8.25,0.95,0.68,0.04,92.57
95.5,0.929,0.932,98.2,97.33,8.25,0.95,0.694,0.04,92.57
95.5,0.928,0.932,98.2,97.34,8.25,0.95,0.694,0.04,92.57
95.5,0.928,0.932,98.2,97.33,8.25,0.95,0.691,0.04,92.57
95.5,0.928,0.932,98.2,97.33,8.25,0.95,0.691,0.04,92.57
95.5,0.931,0.935,98.2,97.53,8.25,0.96,0.67,0.05,92.57
95.5,0.934,0.936,98.2,97.67,8.25,0.96,0.687,0.04,92.57
95.5,0.924,0.927,98.2,97.17,8.25,0.95,0.683,0.04,92.34
94.59,0.922,0.926,98.2,97.39,8.25,0.95,0.669,0.05,92.34
94.59,0.924,0.928,98.2,97.48,8.25,0.95,0.676,0.04,92.34
95.5,0.937,0.939,98.2,97.66,8.25,0.96,0.689,0.04,92.34
95.5,0.923,0.926,98.2,97.16,8.25,0.95,0.681,0.04,92.34
95.5,0.927,0.93,98.2,97.26,8.25,0.95,0.673,0.04,92.34
95.5,0.926,0.929,98.2,96.97,8.25,0.95,0.665,0.04,92.34
95.5,0.926,0.929,98.2,97.19,8.25,0.96,0.676,0.04,92.34
95.5,0.924,0.926,97.3,97.15,8.25,0.95,0.668,0.04,92.12
95.5,0.927,0.93,98.2,97.22,8.25,0.95,0.678,0.04,92.12
94.59,0.922,0.926,98.2,97.35,8.25,0.96,0.675,0.04,92.12
94.59,0.922,0.926,98.2,97.36,8.25,0.96,0.676,0.04,92.12
96.4,0.93,0.93,97.3,96.59,8.14,0.96,0.56,0.07,92.12
95.5,0.921,0.924,98.2,97.07,8.25,0.95,0.674,0.04,92.12
94.59,0.922,0.926,98.2,97.36,8.25,0.96,0.676,0.04,92.12
95.5,0.921,0.924,98.2,97.1,8.25,0.95,0.675,0.04,92.12
95.5,0.926,0.93,98.2,97.14,8.25,0.95,0.699,0.04,92.12
95.5,0.926,0.93,98.2,97.14,8.25,0.95,0.699,0.04,92.12
95.5,0.924,0.928,98.2,96.69,8.25,0.95,0.475,0.05,92.12
95.5,0.925,0.929,98.2,96.34,8.25,0.95,0.472,0.05,92.12
95.5,0.926,0.93,98.2,97.14,8.25,0.95,0.699,0.04,92.12
95.5,0.927,0.93,98.2,97.22,8.25,0.95,0.678,0.04,92.12
95.5,0.925,0.929,98.2,97.11,8.25,0.95,0.669,0.04,92.12
95.5,0.927,0.927,96.4,95.63,8.14,0.96,0.623,0.06,91.89
95.5,0.925,0.928,98.2,97.11,8.25,0.95,0.691,0.04,91.89
95.5,0.923,0.926,98.2,97.2,8.25,0.95,0.676,0.04,91.89
95.5,0.922,0.925,98.2,97.11,8.25,0.95,0.68,0.04,91.89
95.5,0.921,0.924,98.2,97.1,8.25,0.95,0.678,0.04,91.89
95.5,0.925,0.928,98.2,97.11,8.25,0.95,0.691,0.04,91.89
95.5,0.925,0.928,98.2,97.11,8.25,0.95,0.691,0.04,91.89
95.5,0.92,0.923,98.2,97.11,8.25,0.95,0.681,0.04,91.89
95.5,0.92,0.923,98.2,97.07,8.25,0.95,0.674,0.04,91.89
94.59,0.924,0.924,95.5,96.82,8.03,0.95,0.657,0.05,91.67
95.5,0.92,0.923,98.2,97.11,8.25,0.95,0.683,0.04,91.67
95.5,0.918,0.921,97.3,97.15,8.25,0.95,0.68,0.04,91.67
95.5,0.925,0.926,98.2,97.29,8.14,0.96,0.635,0.04,91.67
95.5,0.92,0.923,98.2,97.09,8.25,0.95,0.681,0.04,91.67
95.5,0.918,0.921,97.3,97.15,8.25,0.95,0.68,0.04,91.67
95.5,0.92,0.923,98.2,97.11,8.25,0.95,0.682,0.04,91.67
96.4,0.928,0.934,99.1,94.41,8.36,0.95,0.591,0.06,91.67
95.5,0.92,0.924,98.2,97.1,8.25,0.95,0.679,0.04,91.44
95.5,0.916,0.918,96.4,97.02,8.25,0.95,0.683,0.04,91.44
95.5,0.916,0.917,96.4,94.64,8.03,0.95,0.539,0.05,91.44
95.5,0.925,0.928,98.2,97.36,8.36,0.96,0.661,0.04,91.44
95.5,0.92,0.924,98.2,97.1,8.25,0.95,0.679,0.04,91.44
95.5,0.916,0.918,96.4,97.02,8.25,0.95,0.683,0.04,91.44
95.5,0.92,0.925,98.2,96.44,8.25,0.95,0.632,0.04,91.22
95.5,0.923,0.927,98.2,94.71,8.25,0.95,0.645,0.05,91.22
95.5,0.918,0.921,97.3,97.05,8.25,0.95,0.681,0.04,91.22
95.5,0.917,0.92,98.2,97.02,8.25,0.95,0.683,0.04,91.22
95.5,0.916,0.919,98.2,96.92,8.25,0.95,0.679,0.04,91.22
95.5,0.917,0.92,98.2,96.99,8.25,0.95,0.687,0.04,91.22
95.5,0.915,0.918,98.2,96.96,8.25,0.95,0.688,0.04,90.99
95.5,0.911,0.912,96.4,94.12,8.03,0.94,0.51,0.06,90.99
95.5,0.916,0.919,98.2,97.0,8.25,0.95,0.669,0.04,90.99
91.89,0.912,0.914,93.69,95.99,7.82,0.95,0.644,0.07,90.99
95.5,0.915,0.919,98.2,97.01,8.25,0.95,0.669,0.04,90.99
95.5,0.915,0.918,98.2,96.99,8.25,0.95,0.675,0.04,90.99
95.5,0.915,0.918,98.2,97.0,8.25,0.95,0.673,0.04,90.77
95.5,0.914,0.917,97.3,97.01,8.25,0.95,0.69,0.04,90.77
93.69,0.906,0.909,95.5,96.99,7.93,0.95,0.664,0.06,90.77
95.5,0.919,0.919,96.4,95.76,8.03,0.95,0.612,0.06,90.54
91.89,0.91,0.912,93.69,95.99,7.82,0.94,0.624,0.07,90.54
95.5,0.91,0.914,98.2,96.9,8.25,0.95,0.681,0.04,90.31
93.69,0.904,0.907,98.2,97.0,8.25,0.95,0.66,0.04,90.31
94.59,0.908,0.911,97.3,96.8,8.25,0.95,0.681,0.04,90.09
95.5,0.92,0.933,99.1,95.35,8.36,0.95,0.598,0.06,89.86
95.5,0.914,0.917,98.2,96.44,8.25,0.95,0.656,0.04,89.86
95.5,0.914,0.916,98.2,96.34,8.25,0.95,0.659,0.05,89.64
94.59,0.906,0.909,97.3,96.89,8.25,0.95,0.674,0.04,89.64
95.5,0.908,0.912,98.2,96.89,8.25,0.95,0.686,0.04,89.64
95.5,0.908,0.909,96.4,93.81,8.03,0.94,0.489,0.06,89.41
96.4,0.916,0.922,98.2,95.08,8.25,0.95,0.603,0.06,89.19
95.5,0.907,0.91,97.3,93.95,8.03,0.94,0.53,0.06,88.96
95.5,0.908,0.913,96.4,95.31,8.03,0.95,0.599,0.09,88.96
95.5,0.908,0.912,98.2,96.25,8.25,0.95,0.643,0.05,88.96
93.69,0.908,0.909,98.2,95.55,8.25,0.95,0.651,0.06,88.96
95.5,0.902,0.903,96.4,95.17,8.25,0.94,0.613,0.05,88.96
96.4,0.911,0.911,97.3,94.72,8.14,0.94,0.617,0.05,88.74
95.5,0.915,0.92,98.2,95.95,8.03,0.95,0.622,0.04,88.51
95.5,0.903,0.904,97.3,94.71,8.25,0.95,0.587,0.06,87.84
95.5,0.904,0.906,96.4,94.07,8.14,0.94,0.554,0.06,87.84
92.79,0.904,0.911,99.1,94.72,8.36,0.95,0.62,0.05,87.61
96.4,0.905,0.912,98.2,95.51,8.25,0.95,0.572,0.08,87.16
92.79,0.883,0.888,97.3,96.53,8.14,0.94,0.619,0.04,86.71
93.69,0.885,0.895,98.2,90.28,8.25,0.93,0.446,0.1,84.01
93.69,0.885,0.895,98.2,90.29,8.25,0.93,0.446,0.1,84.01
93.69,0.864,0.863,97.3,96.58,8.14,0.94,0.587,0.06,83.56
92.79,0.876,0.885,98.2,93.77,8.14,0.94,0.58,0.05,83.11
93.69,0.869,0.878,98.2,90.43,8.25,0.94,0.425,0.08,82.66
87.39,0.825,0.832,91.89,89.91,6.84,0.91,0.398,0.17,80.63
87.39,0.821,0.822,94.59,89.97,7.82,0.93,0.46,0.13,79.95
85.59,0.82,0.825,90.99,86.5,7.6,0.89,0.46,0.23,79.05
84.68,0.819,0.825,90.99,87.16,7.6,0.89,0.472,0.23,78.83
80.18,0.764,0.773,91.89,93.43,7.93,0.92,0.606,0.06,78.6
85.59,0.82,0.825,90.99,87.03,7.49,0.89,0.456,0.23,78.6
75.68,0.742,0.759,84.68,92.06,7.39,0.9,0.575,0.06,78.38
86.49,0.818,0.822,91.89,86.54,7.6,0.89,0.458,0.23,78.15
85.59,0.815,0.82,90.99,86.58,7.6,0.89,0.429,0.23,77.7
76.58,0.746,0.762,84.68,88.58,7.06,0.91,0.582,0.07,77.7
76.58,0.74,0.757,81.98,89.03,6.52,0.9,0.532,0.07,77.25
84.68,0.825,0.836,94.59,90.33,7.93,0.92,0.432,0.15,77.03
84.68,0.803,0.8,91.89,90.33,7.28,0.91,0.425,0.15,76.13
69.37,0.704,0.719,84.68,91.71,5.98,0.9,0.572,0.06,75.22
78.38,0.792,0.807,91.89,87.3,7.6,0.9,0.393,0.2,74.32
72.07,0.735,0.745,89.19,78.58,7.6,0.92,0.376,0.15,69.82
69.37,0.738,0.781,89.19,82.11,7.17,0.86,0.262,0.39,68.47
69.37,0.738,0.781,89.19,82.11,7.17,0.86,0.262,0.39,68.47
68.47,0.709,0.727,88.29,69.96,6.84,0.9,0.293,0.19,66.44
73.87,0.722,0.73,85.59,67.44,6.74,0.9,0.262,0.24,65.77
61.26,0.688,0.753,86.49,70.39,7.06,0.83,0.23,0.48,63.29
63.96,0.689,0.703,86.49,70.81,6.63,0.9,0.289,0.23,63.29
64.86,0.688,0.703,86.49,70.61,6.74,0.9,0.283,0.22,62.84
58.56,0.635,0.739,71.17,65.45,6.63,0.82,0.209,0.5,60.59
63.96,0.67,0.679,86.49,61.05,6.09,0.89,0.225,0.28,59.46
51.35,0.544,0.696,63.06,49.23,6.3,0.74,0.179,0.96,55.63
42.34,0.572,0.772,88.29,69.56,7.17,0.79,0.239,0.53,55.41
21.62,0.518,0.528,59.46,56.04,3.06,0.86,0.243,0.56,47.75
0.0,0.447,0.445,0.9,59.01,1.54,0.71,0.282,0.52,45.05
0.0,0.447,0.445,0.9,59.01,1.54,0.71,0.282,0.52,45.05
0.0,0.447,0.445,0.9,59.01,1.54,0.71,0.282,0.52,45.05
0.0,0.447,0.445,0.9,59.01,1.54,0.71,0.282,0.52,45.05
0.0,0.447,0.445,0.9,59.01,1.54,0.71,0.282,0.52,45.05
0.0,0.269,0.31,0.9,31.64,0.35,0.52,0.131,1.29,25.45
0.0,0.269,0.31,0.9,31.64,0.35,0.52,0.131,1.29,25.45
0.0,0.25,0.371,0.0,29.92,1.43,0.52,0.101,1.5,24.32
0.0,0.25,0.371,0.0,29.92,1.43,0.52,0.101,1.5,24.32
98.64,0.983,0.983,99.1,99.23,11.23,0.98,0.794,0.02,97.62
98.64,0.983,0.983,99.1,99.23,11.23,0.98,0.794,0.02,97.62
96.38,0.977,0.977,97.29,99.23,11.04,0.98,0.774,0.04,97.06
96.38,0.976,0.976,97.74,99.19,11.1,0.98,0.777,0.05,97.06
97.29,0.976,0.976,98.19,99.04,11.1,0.98,0.786,0.03,96.72
96.38,0.974,0.974,96.83,98.87,11.04,0.97,0.75,0.05,96.61
96.38,0.974,0.974,96.83,98.87,11.04,0.97,0.752,0.05,96.61
96.38,0.974,0.974,96.83,98.87,11.04,0.97,0.752,0.05,96.61
96.38,0.974,0.974,96.83,98.87,11.04,0.97,0.752,0.05,96.61
95.93,0.973,0.973,97.29,98.96,10.91,0.97,0.782,0.05,96.49
95.93,0.973,0.973,97.29,98.96,10.91,0.97,0.782,0.05,96.49
95.93,0.973,0.973,96.83,98.95,10.91,0.97,0.788,0.05,96.49
95.93,0.972,0.971,96.83,98.95,10.91,0.97,0.78,0.05,96.49
95.93,0.972,0.972,96.83,98.97,10.91,0.97,0.783,0.05,96.49
98.64,0.98,0.98,99.1,98.81,11.3,0.98,0.733,0.03,96.49
95.93,0.972,0.972,96.83,99.0,10.91,0.97,0.783,0.05,96.49
95.93,0.972,0.972,96.83,98.99,10.91,0.97,0.783,0.04,96.49
95.93,0.973,0.973,96.83,98.96,10.91,0.97,0.784,0.05,96.49
95.93,0.972,0.972,96.83,98.91,10.91,0.97,0.783,0.05,96.49
95.93,0.972,0.971,96.83,98.95,10.91,0.97,0.78,0.05,96.49
95.93,0.974,0.974,96.83,98.95,10.91,0.97,0.772,0.05,96.49
95.93,0.972,0.972,96.83,99.0,10.91,0.97,0.783,0.05,96.49
95.93,0.974,0.974,96.83,98.95,10.91,0.97,0.772,0.05,96.49
95.93,0.972,0.972,96.83,98.99,10.91,0.97,0.783,0.04,96.49
95.93,0.972,0.972,96.83,98.97,10.91,0.97,0.783,0.05,96.49
95.93,0.973,0.973,96.83,98.95,10.91,0.97,0.788,0.05,96.49
95.48,0.974,0.974,96.83,98.92,10.91,0.97,0.783,0.05,96.49
95.93,0.973,0.973,96.83,98.96,10.91,0.97,0.784,0.05,96.49
98.64,0.98,0.98,99.1,98.81,11.3,0.98,0.733,0.03,96.49
95.93,0.972,0.972,96.83,99.0,10.91,0.97,0.78,0.05,96.49
95.93,0.972,0.972,96.83,98.91,10.91,0.97,0.783,0.05,96.49
95.93,0.972,0.972,96.83,99.0,10.91,0.97,0.78,0.05,96.49
95.93,0.973,0.973,96.83,98.95,10.91,0.97,0.785,0.05,96.49
95.93,0.972,0.972,96.83,99.0,10.91,0.97,0.783,0.05,96.49
95.93,0.972,0.972,96.83,98.95,10.91,0.97,0.773,0.05,96.49
95.93,0.972,0.972,96.83,99.0,10.91,0.97,0.783,0.05,96.49
95.93,0.972,0.972,96.83,98.95,10.91,0.97,0.776,0.05,96.49
95.93,0.972,0.972,96.83,99.01,10.91,0.97,0.784,0.05,96.38
95.93,0.971,0.971,96.83,98.98,10.91,0.97,0.774,0.04,96.38
95.93,0.971,0.971,97.29,98.89,10.91,0.97,0.768,0.05,96.38
95.93,0.971,0.971,96.83,98.92,10.91,0.97,0.775,0.05,96.38
95.93,0.973,0.973,97.29,98.93,10.91,0.97,0.783,0.05,96.38
95.93,0.972,0.972,96.83,98.96,10.91,0.97,0.781,0.05,96.38
95.93,0.972,0.972,96.83,99.04,10.91,0.97,0.789,0.05,96.38
95.93,0.972,0.972,96.83,99.06,10.91,0.97,0.779,0.05,96.38
95.93,0.971,0.971,96.83,98.98,10.91,0.97,0.774,0.04,96.38
95.93,0.971,0.971,97.29,98.89,10.91,0.97,0.768,0.05,96.38
95.93,0.972,0.972,97.29,98.97,10.91,0.97,0.779,0.05,96.38
95.93,0.972,0.972,96.83,99.01,10.91,0.97,0.784,0.05,96.38
95.93,0.972,0.972,96.83,99.01,10.91,0.97,0.784,0.05,96.38
95.93,0.972,0.972,96.83,99.05,10.91,0.97,0.778,0.05,96.38
95.93,0.973,0.973,97.29,98.94,10.91,0.97,0.786,0.05,96.38
95.93,0.972,0.972,96.83,99.0,10.91,0.97,0.792,0.05,96.38
96.38,0.973,0.973,96.83,98.79,11.04,0.97,0.749,0.05,96.38
95.93,0.972,0.972,97.29,98.97,10.91,0.97,0.784,0.05,96.38
96.38,0.973,0.973,96.83,98.79,11.04,0.97,0.749,0.05,96.38
95.93,0.972,0.972,96.83,99.04,10.91,0.97,0.789,0.05,96.38
95.93,0.972,0.972,96.83,99.03,10.91,0.97,0.786,0.05,96.38
96.38,0.973,0.973,97.29,98.82,10.97,0.97,0.782,0.04,96.38
95.93,0.972,0.972,96.83,99.05,10.91,0.97,0.778,0.05,96.38
95.93,0.972,0.972,97.29,98.85,10.91,0.97,0.757,0.05,96.38
95.93,0.969,0.969,96.38,98.83,10.91,0.97,0.766,0.05,96.38
96.38,0.973,0.973,96.83,98.79,11.04,0.97,0.748,0.05,96.38
95.93,0.973,0.973,96.83,98.99,10.97,0.97,0.789,0.05,96.38
95.93,0.971,0.971,96.83,98.95,10.91,0.97,0.788,0.05,96.38
95.93,0.972,0.972,97.29,98.96,10.91,0.97,0.781,0.05,96.38
95.93,0.969,0.969,96.38,98.83,10.91,0.97,0.767,0.05,96.38
95.93,0.972,0.972,96.83,99.0,10.91,0.97,0.792,0.05,96.38
95.93,0.972,0.972,96.83,99.01,10.91,0.97,0.784,0.05,96.38
95.93,0.972,0.972,96.83,98.94,10.91,0.97,0.785,0.05,96.38
95.93,0.971,0.971,96.83,98.94,10.84,0.97,0.773,0.04,96.38
96.38,0.973,0.973,96.83,98.79,11.04,0.97,0.749,0.05,96.38
95.93,0.972,0.972,96.83,99.0,10.91,0.97,0.792,0.05,96.38
95.93,0.972,0.972,96.83,98.84,10.91,0.97,0.77,0.05,96.38
95.93,0.973,0.973,96.83,99.02,10.91,0.97,0.776,0.05,96.38
95.93,0.973,0.973,96.83,99.0,10.91,0.97,0.783,0.05,96.38
95.93,0.973,0.973,96.83,99.0,10.91,0.97,0.787,0.05,96.38
95.93,0.973,0.973,96.83,99.0,10.91,0.97,0.787,0.05,96.38
95.93,0.972,0.972,96.83,99.05,10.91,0.97,0.778,0.05,96.38
95.93,0.972,0.972,97.29,98.93,10.91,0.97,0.786,0.05,96.27
95.48,0.973,0.973,96.83,98.95,10.91,0.97,0.784,0.05,96.27
95.93,0.971,0.971,96.83,98.94,10.91,0.97,0.781,0.05,96.27
95.93,0.97,0.97,96.38,98.85,10.91,0.97,0.764,0.05,96.27
95.93,0.972,0.972,96.83,98.97,10.91,0.97,0.783,0.05,96.27
95.93,0.97,0.97,96.38,98.85,10.91,0.97,0.764,0.05,96.27
95.93,0.971,0.971,96.38,98.95,10.91,0.97,0.779,0.05,96.27
95.48,0.973,0.973,97.29,98.92,10.91,0.97,0.779,0.05,96.27
95.93,0.972,0.972,96.83,98.97,10.91,0.97,0.783,0.05,96.27
95.93,0.971,0.971,96.38,98.95,10.91,0.97,0.775,0.05,96.27
95.93,0.97,0.97,96.38,98.85,10.91,0.97,0.764,0.05,96.27
95.93,0.972,0.972,96.83,99.0,10.91,0.97,0.784,0.05,96.27
95.93,0.971,0.971,96.83,98.92,10.91,0.97,0.793,0.05,96.27
95.93,0.972,0.972,97.29,98.93,10.91,0.97,0.781,0.05,96.27
95.93,0.971,0.971,96.38,98.8,10.91,0.97,0.776,0.05,96.27
95.93,0.972,0.972,96.83,99.06,10.91,0.97,0.773,0.04,96.27
95.93,0.971,0.971,96.38,98.95,10.91,0.97,0.775,0.05,96.27
95.93,0.971,0.971,96.83,98.94,10.91,0.97,0.781,0.05,96.27
95.93,0.971,0.971,96.83,98.94,10.91,0.97,0.782,0.05,96.27
95.93,0.972,0.972,96.83,99.0,10.91,0.97,0.784,0.05,96.27
96.38,0.973,0.973,97.29,98.9,10.97,0.97,0.77,0.04,96.27
95.93,0.972,0.972,97.29,98.93,10.91,0.97,0.779,0.05,96.27
95.93,0.972,0.972,96.83,99.03,10.91,0.97,0.784,0.05,96.27
