GDT_TS,GDT_HA,GDC_SC,rmsd
96.61,91.52,74.31,1.17
89.52,75.3,54.42,1.64
40.88,31.62,20.14,37.61
76.25,60.83,28.6,2.7
62.5,45.0,19.55,5.01
60.0,49.55,28.79,14.62
83.08,64.97,52.05,1.69
90.3,82.01,63.28,9.77
94.82,83.56,60.31,1.33
49.55,36.59,22.91,11.69
87.73,76.14,59.3,5.33
10.68,7.96,0.65,63.02
95.05,84.01,62.42,1.35
75.0,55.69,39.12,2.38
65.84,52.11,28.8,7.1
73.36,56.77,32.87,9.03
90.54,84.58,63.49,9.83
90.27,76.65,58.26,1.44
95.05,84.46,61.01,1.34
84.88,67.52,50.06,1.71
91.0,83.76,63.75,9.66
79.02,61.58,40.65,3.33
90.07,78.74,58.65,9.87
96.49,92.2,77.73,1.23
50.34,45.14,66.87,0.93
95.72,85.81,63.42,1.39
87.58,71.26,56.1,1.63
39.44,32.75,11.2,17.48
85.92,69.72,41.79,2.0
42.73,29.77,13.31,13.4
64.58,48.75,25.83,9.08
81.2,65.17,41.03,2.0
85.03,67.96,52.34,1.7
48.33,32.5,17.73,10.31
36.03,27.06,15.06,35.65
95.05,83.33,59.65,1.35
83.8,69.36,42.73,1.96
76.92,56.84,32.57,2.54
74.84,56.36,39.81,3.41
59.86,44.01,24.25,7.52
72.53,54.23,26.1,3.4
80.16,62.82,41.93,2.9
66.02,58.09,43.56,16.48
74.02,53.75,36.48,3.1
84.16,69.72,41.67,1.94
78.2,62.82,35.5,2.81
20.23,14.09,2.61,24.26
96.04,90.5,70.91,1.27
90.42,84.46,64.87,9.83
61.36,45.68,30.21,8.01
91.89,77.03,55.34,1.65
93.16,79.06,62.22,1.36
78.42,61.03,40.85,3.09
92.57,77.48,56.23,1.56
95.02,81.22,66.82,1.25
80.34,63.25,37.53,2.4
90.54,84.0,64.07,9.8
76.67,58.34,31.52,2.25
90.42,75.6,56.45,1.35
95.05,84.91,59.4,1.35
96.49,91.86,76.18,1.25
91.92,78.74,61.14,2.0
79.93,65.5,35.22,2.69
91.12,82.94,67.14,9.68
95.27,83.33,58.76,1.36
73.75,55.42,23.07,2.29
25.45,19.37,6.94,15.38
93.47,80.86,57.6,1.33
90.42,82.94,64.44,9.89
33.97,25.29,16.72,37.27
61.38,48.2,37.52,16.68
78.15,61.3,39.39,3.42
79.58,64.17,35.87,2.2
31.32,22.35,14.37,42.8
94.91,83.14,65.77,1.14
91.32,78.59,57.59,1.37
55.69,39.97,18.0,9.37
94.82,83.11,60.23,1.31
94.82,83.33,56.71,1.35
61.36,46.59,29.93,7.78
78.42,63.25,37.42,2.73
78.53,59.46,43.61,2.79
95.27,85.14,62.86,1.36
91.24,83.3,64.74,9.75
94.82,81.98,58.9,1.49
77.92,60.42,31.67,2.23
76.3,57.39,38.48,3.23
65.84,51.41,28.18,6.93
95.7,89.03,73.2,1.3
77.08,58.75,25.95,2.44
48.64,36.82,25.25,12.59
90.3,82.59,64.55,9.83
86.54,71.15,52.08,1.53
77.39,63.92,35.72,9.52
35.88,26.76,17.75,38.3
89.14,79.2,61.8,9.74
79.27,64.1,38.2,2.71
80.77,63.89,40.19,2.13
10.91,6.14,2.45,36.09
95.47,88.69,72.0,1.39
77.04,58.71,33.66,4.4
73.24,53.88,29.59,3.35
79.08,62.34,40.25,3.17
78.85,62.33,39.64,3.92
97.22,90.81,64.34,1.39
65.81,45.94,23.2,4.17
92.34,77.48,54.18,1.54
35.88,25.15,12.86,43.61
78.42,60.44,39.3,3.19
45.23,32.27,22.1,10.94
96.15,87.78,69.46,1.32
95.59,87.1,51.72,1.29
55.45,41.37,28.67,10.66
53.86,41.14,26.34,11.01
83.45,69.01,35.84,2.46
75.0,55.28,19.18,3.53
35.29,30.88,19.09,20.89
65.84,51.76,27.68,7.01
54.58,40.84,19.24,8.35
84.51,70.42,41.03,1.95
94.82,83.11,58.43,1.48
75.65,57.77,37.01,3.63
71.67,54.17,26.1,3.38
55.0,40.91,20.77,10.42
41.82,29.09,15.31,18.36
75.6,60.78,50.15,14.2
95.05,82.66,60.39,1.33
63.77,53.29,40.22,16.56
62.5,48.33,24.55,7.8
12.57,9.43,1.19,20.45
92.34,79.06,54.89,1.26
19.76,14.22,4.23,22.39
70.51,50.0,21.74,3.01
79.27,63.03,38.99,2.27
45.29,34.41,20.03,15.47
78.48,60.65,40.29,3.1
93.92,81.31,52.32,1.36
96.49,92.08,77.12,1.28
70.94,50.0,22.34,3.01
30.29,21.62,9.6,36.84
10.91,6.14,2.45,36.09
96.04,90.39,72.39,1.24
90.31,76.35,52.22,1.68
96.15,91.52,77.63,1.22
96.04,90.05,73.85,1.31
82.69,66.88,45.23,2.1
89.97,77.69,59.01,1.7
95.27,81.98,63.37,1.42
87.61,70.5,48.98,1.52
14.22,10.18,2.05,19.28
43.18,30.23,12.73,14.15
95.36,83.94,68.38,1.27
96.15,91.29,77.59,1.27
41.14,28.64,14.08,18.09
95.59,84.39,56.59,1.35
75.49,55.76,41.28,2.46
76.65,60.33,33.67,4.5
94.34,81.22,39.17,1.4
83.94,68.21,48.03,3.42
77.77,59.67,41.24,3.4
78.31,59.78,41.08,3.06
87.03,73.36,47.58,9.42
63.38,48.59,21.82,7.36
77.5,60.0,30.23,2.24
87.92,74.58,37.88,1.75
66.2,52.47,30.97,7.02
84.17,67.92,31.36,2.31
34.32,25.45,14.03,22.29
90.42,83.64,65.21,9.65
95.47,88.58,71.85,1.34
90.89,83.53,66.23,9.7
80.34,64.75,40.73,2.51
27.93,18.47,0.0,11.84
65.81,45.94,23.2,4.17
72.89,56.34,32.67,4.35
11.67,7.5,0.76,32.57
54.23,41.55,18.24,8.82
60.23,49.09,27.18,10.2
38.09,28.23,12.79,36.95
61.36,46.37,23.66,11.07
87.72,70.95,56.23,1.44
94.14,82.43,59.17,1.31
77.66,59.4,37.61,3.31
86.98,71.7,54.53,1.65
90.3,81.78,65.32,9.73
31.91,24.86,13.95,44.3
54.49,36.54,18.66,5.81
35.44,25.59,8.05,45.22
79.7,64.31,41.21,2.68
47.73,34.55,14.64,13.15
35.59,26.47,12.86,43.29
79.06,63.03,39.46,2.67
82.08,62.5,37.73,1.74
50.15,35.48,16.7,12.2
45.05,28.38,10.13,7.77
90.3,83.53,65.16,9.86
85.47,70.08,49.13,1.97
20.0,14.54,7.13,22.8
93.26,81.89,63.23,1.18
79.19,63.05,39.47,3.23
63.75,50.0,27.23,8.8
46.82,32.5,15.92,13.15
74.08,55.54,38.36,3.33
90.19,82.48,61.7,9.77
77.88,60.05,36.99,3.27
96.04,90.05,72.48,1.24
27.94,19.27,8.22,38.08
95.7,89.59,71.1,1.33
95.02,86.88,67.45,1.3
96.38,91.97,77.17,1.28
84.17,67.08,36.59,1.68
94.59,83.11,62.9,1.34
90.65,83.64,64.59,9.72
42.72,26.63,0.0,8.65
83.88,67.87,52.26,10.04
91.67,80.83,44.92,1.34
95.93,90.84,78.47,1.34
93.56,82.03,64.76,1.15
92.57,78.38,56.87,1.51
78.42,60.47,36.63,2.36
90.65,82.83,66.63,9.71
19.76,14.22,4.23,22.39
35.29,26.91,15.7,42.21
11.67,7.5,0.76,32.57
92.57,77.48,58.18,1.52
72.08,56.66,28.48,3.22
94.28,86.92,67.39,1.3
71.48,53.52,25.16,3.51
40.91,27.95,15.66,18.5
65.23,49.77,30.16,11.2
75.87,57.83,37.43,3.34
96.04,87.9,69.7,1.2
41.03,30.0,17.86,38.39
75.83,57.5,23.6,2.65
42.94,31.62,18.46,37.73
73.29,54.06,29.19,2.7
78.48,61.25,38.97,3.25
77.11,57.4,29.12,2.88
34.41,25.59,12.32,37.7
66.47,55.84,38.76,12.2
94.37,79.51,39.4,1.49
76.67,59.59,35.53,2.28
93.26,81.58,62.98,1.21
65.42,56.88,43.16,16.5
77.61,58.7,40.57,3.26
38.38,30.15,16.31,37.28
34.85,26.62,16.31,38.16
79.49,64.1,42.41,2.55
57.27,44.32,27.58,17.89
58.68,53.53,26.59,13.92
40.91,25.91,15.97,15.78
73.94,53.52,30.94,3.7
74.51,55.81,38.13,3.13
80.98,65.81,39.14,2.2
72.53,53.87,27.13,3.96
60.0,45.23,28.32,10.9
27.5,19.77,9.3,17.52
85.18,70.06,45.49,4.47
96.38,91.63,76.25,1.28
80.83,62.92,29.09,2.31
95.21,88.32,70.8,1.29
83.75,67.92,39.05,1.82
84.43,65.72,46.52,1.86
66.9,52.82,28.07,7.02
28.68,20.3,7.55,41.45
91.17,76.65,61.58,1.58
91.0,83.06,65.71,9.69
46.82,32.5,15.92,13.15
29.85,21.77,6.54,39.86
40.45,28.41,12.77,12.03
78.59,60.27,39.35,3.11
90.65,84.46,63.12,9.81
82.08,64.58,33.3,1.69
88.64,82.5,53.33,6.85
76.28,56.62,32.44,2.65
94.98,87.62,69.04,1.26
90.12,76.8,61.58,2.25
95.59,89.37,74.5,1.23
43.86,29.77,20.19,12.51
90.77,83.41,63.64,9.72
37.5,27.65,16.15,39.74
35.29,27.35,14.59,39.92
71.48,53.17,29.71,4.12
93.59,80.34,60.42,1.41
74.35,53.86,39.88,2.74
82.47,69.0,40.24,4.63
92.96,81.29,61.77,1.25
83.75,70.0,43.14,1.79
95.93,88.92,71.98,1.3
79.58,61.25,22.95,3.0
90.27,77.69,58.61,1.35
89.52,75.6,58.01,2.35
83.75,67.5,37.27,2.02
78.1,59.08,37.15,3.12
92.29,80.61,62.4,1.43
36.18,27.8,16.15,40.83
95.5,84.46,59.25,1.25
95.93,90.05,72.63,1.28
64.82,56.29,42.42,15.82
73.8,54.89,37.25,3.06
73.24,54.93,30.62,3.96
95.27,82.89,60.31,1.41
84.16,68.66,38.45,2.38
85.47,69.66,47.73,2.14
81.41,63.89,39.87,2.1
96.38,91.97,78.08,1.26
97.06,91.86,77.44,1.17
96.38,92.2,78.04,1.3
28.97,20.44,12.91,36.99
60.05,39.46,25.87,4.17
95.05,80.63,55.89,1.54
72.08,56.66,28.48,3.22
85.04,68.8,49.07,1.93
65.42,45.83,16.97,3.56
36.62,28.82,16.2,40.99
90.65,83.53,63.97,9.76
82.69,66.88,45.23,2.1
52.5,42.5,24.13,8.92
63.73,50.0,26.01,7.2
30.91,21.82,7.06,14.13
83.98,67.07,51.22,2.03
84.16,69.72,41.58,1.95
72.08,56.66,28.48,3.22
60.0,41.66,14.43,5.11
81.44,62.88,28.74,1.82
76.2,57.99,37.4,3.35
96.27,90.84,75.89,1.27
78.75,60.83,22.46,3.04
93.47,79.96,58.28,1.52
19.76,11.82,2.51,20.77
65.07,43.1,21.04,4.65
68.59,46.58,34.83,2.74
67.73,53.41,32.94,8.95
69.17,50.84,19.02,3.64
78.75,60.0,32.61,1.88
71.86,61.67,47.05,9.7
96.27,91.4,76.69,1.25
25.44,18.82,10.74,41.8
79.24,63.16,39.55,3.22
80.13,62.82,37.32,2.21
74.29,55.38,38.4,3.16
81.69,66.55,35.75,2.54
33.18,22.73,6.01,15.52
79.49,64.1,40.36,2.63
90.89,82.24,65.25,9.7
76.14,57.34,37.96,3.15
93.16,80.13,59.9,1.42
93.92,81.08,55.36,1.34
70.83,53.33,28.07,3.79
85.83,70.0,37.61,1.67
77.66,59.45,40.54,2.94
91.32,80.54,58.26,1.53
95.25,87.78,71.9,1.18
24.77,16.14,5.29,19.55
74.06,54.67,38.52,9.67
96.38,92.08,77.12,1.27
37.39,21.8,5.93,8.23
84.58,68.33,37.05,1.66
78.64,60.81,38.87,3.15
25.45,19.37,6.94,15.38
93.92,80.86,57.06,1.35
89.49,80.25,63.53,9.82
79.92,64.74,39.45,2.66
29.32,22.73,6.83,17.21
66.44,44.37,13.69,2.96
95.25,88.46,71.43,1.3
95.05,84.01,60.6,1.36
95.05,83.56,60.13,1.35
91.0,82.83,66.8,9.68
87.33,70.59,54.58,2.29
94.59,80.18,60.81,1.5
91.0,82.59,66.64,9.68
90.89,84.58,66.52,9.7
79.17,60.84,25.23,2.59
96.04,90.5,74.98,1.28
35.83,26.67,5.61,19.18
81.25,62.08,29.89,1.88
91.22,75.9,53.83,1.68
30.65,20.76,10.55,15.28
58.38,49.85,36.23,9.5
84.88,69.31,52.0,2.15
95.02,86.08,70.16,1.3
64.08,47.88,18.68,6.47
23.5,14.74,2.07,13.23
81.14,60.48,39.87,1.92
43.18,29.77,13.29,9.41
83.23,64.82,41.25,1.95
64.08,50.35,27.54,7.06
30.29,21.62,9.86,36.84
65.57,48.65,32.33,10.45
85.47,69.66,47.73,2.14
66.9,47.88,20.67,3.62
59.27,50.29,35.68,12.6
67.61,49.3,24.63,4.24
39.27,32.94,18.53,36.63
32.94,25.88,17.69,16.61
85.93,71.56,56.46,2.62
60.21,44.37,26.8,6.6
95.05,83.78,60.23,1.33
93.47,80.18,61.45,1.37
78.63,63.25,37.03,2.74
77.34,58.86,37.45,3.41
66.2,52.11,28.77,7.01
92.79,77.48,55.6,1.6
78.59,60.71,43.76,2.87
67.25,50.7,26.8,5.44
96.38,92.2,77.7,1.25
30.88,25.59,16.97,36.51
33.75,23.75,3.79,18.35
82.69,67.53,52.51,5.65
82.5,65.42,33.98,2.31
17.52,10.9,1.32,29.64
87.84,69.59,41.82,1.71
70.83,54.59,26.02,3.32
25.44,19.41,9.51,38.75
77.84,64.52,48.79,14.24
93.69,80.41,55.49,1.37
70.83,52.5,22.05,3.2
88.86,77.5,57.92,3.75
76.76,57.4,26.33,2.85
77.39,58.21,39.29,3.14
91.32,79.34,58.21,1.41
90.83,77.5,39.39,1.33
90.77,82.59,62.29,9.7
10.23,7.73,1.61,59.62
73.42,52.77,42.03,2.62
50.35,39.44,19.09,11.74
85.56,71.48,43.49,1.86
81.14,63.47,45.33,2.5
30.83,21.67,4.43,13.0
87.73,75.11,59.24,9.81
85.75,66.29,52.56,1.83
44.32,29.77,20.12,14.08
79.56,62.17,41.19,2.99
84.73,65.27,44.7,1.6
50.0,31.41,15.58,5.59
73.53,54.19,34.18,3.0
93.24,80.41,50.77,1.36
51.59,37.27,15.92,16.05
91.62,79.79,61.52,1.35
79.44,61.33,48.93,10.11
90.77,84.7,63.04,9.81
32.27,21.82,12.98,15.77
61.67,46.25,26.25,8.35
79.92,64.53,40.69,2.67
32.77,16.09,7.22,15.94
91.0,83.76,62.92,9.72
84.86,70.42,41.11,1.96
24.25,15.12,3.85,19.02
89.25,80.61,57.6,9.72
71.25,54.59,25.19,3.29
9.54,6.82,2.28,62.16
96.38,91.63,77.11,1.18
53.74,30.84,14.41,5.16
90.3,81.31,61.51,9.76
55.27,43.15,26.34,16.93
83.45,68.31,37.42,2.1
76.76,60.91,30.32,2.76
96.37,86.11,62.95,1.28
48.72,34.19,15.72,7.48
76.58,59.02,37.65,3.58
50.23,35.0,19.91,11.96
27.35,21.18,10.89,37.21
22.92,15.0,3.6,17.86
92.07,79.34,60.41,1.51
62.27,44.77,28.6,7.5
80.42,67.08,36.89,2.23
61.83,46.11,31.22,9.01
79.92,64.53,42.45,2.51
80.68,68.19,46.46,6.52
48.33,32.5,17.73,10.31
82.75,65.5,39.56,1.78
94.37,82.66,57.78,1.31
91.92,80.54,58.4,1.33
19.04,9.7,2.49,14.57
36.59,25.68,10.44,12.7
93.92,79.5,56.58,1.4
96.04,90.84,76.49,1.26
83.1,67.96,40.59,1.98
58.23,48.67,36.19,8.6
79.24,61.74,40.51,3.09
87.15,73.37,47.93,9.41
61.59,45.91,25.06,11.08
65.42,56.88,43.16,16.5
75.42,57.09,27.92,2.26
78.44,59.13,36.8,5.27
96.04,90.39,74.46,1.29
88.86,77.5,57.92,3.75
79.58,62.08,24.96,2.71
30.29,21.62,9.86,36.84
95.36,88.8,74.09,1.24
26.14,20.0,7.37,18.93
72.5,54.17,25.83,2.58
87.72,71.56,49.13,1.63
82.35,66.4,49.72,8.49
35.23,25.91,11.52,13.88
90.3,83.18,65.75,9.8
67.61,53.87,30.67,6.97
78.63,63.46,37.74,2.73
82.39,67.96,41.91,1.91
95.59,88.92,72.62,1.32
95.27,84.01,63.42,1.4
71.67,53.75,25.8,3.79
52.05,40.45,24.5,17.72
13.17,9.28,3.49,20.54
87.73,75.68,59.6,5.32
93.92,81.08,55.26,1.36
90.89,84.46,66.8,9.69
82.5,65.0,36.14,1.73
94.59,81.53,60.68,1.36
76.79,57.34,30.89,3.08
91.0,82.59,65.77,9.69
72.18,53.87,30.73,4.15
60.68,50.91,29.93,14.71
94.14,80.63,54.95,1.37
93.92,81.31,50.81,1.36
44.77,32.27,12.73,16.12
90.07,83.06,64.63,9.81
94.37,80.86,59.54,1.46
61.67,42.08,10.46,4.53
89.67,73.95,54.44,1.43
65.49,52.11,28.91,7.1
92.81,80.84,62.28,1.26
86.98,69.91,53.59,1.73
94.14,80.41,58.41,1.47
86.67,70.42,40.39,1.74
40.14,27.82,11.53,12.73
91.67,76.58,55.67,1.61
96.15,91.41,77.76,1.22
84.86,70.42,41.88,1.93
82.05,63.67,36.65,2.15
94.37,82.66,62.3,1.4
83.14,69.23,48.08,8.7
82.73,70.91,53.82,5.88
77.77,58.2,41.04,3.02
95.59,89.37,73.63,1.32
92.22,80.09,58.85,1.43
94.14,81.08,50.08,1.36
94.59,80.18,60.81,1.5
47.31,31.66,12.16,10.42
28.23,19.56,11.5,36.55
9.46,5.82,1.41,24.84
90.77,83.76,65.96,9.69
83.68,65.27,54.16,1.86
75.87,57.83,37.43,3.34
84.17,67.92,31.36,2.31
78.21,60.27,38.55,3.21
80.99,65.84,38.6,1.78
76.03,56.41,38.82,3.09
94.01,82.03,66.99,1.73
96.61,91.52,74.31,1.17
50.23,35.0,19.91,11.96
90.12,74.7,51.67,1.57
32.06,25.44,15.73,42.65
92.29,84.0,66.26,9.71
85.4,67.17,48.84,3.4
60.23,43.86,20.47,10.69
42.5,33.33,0.0,17.44
95.36,88.12,72.36,1.32
95.7,87.44,71.43,1.33
58.41,42.73,21.82,7.78
54.58,43.75,25.04,9.03
74.89,54.98,29.6,7.46
94.59,82.88,60.08,1.31
94.14,80.86,52.07,1.36
85.42,68.33,38.6,1.52
77.7,57.66,30.85,3.61
65.68,48.18,26.36,8.43
65.91,50.45,32.54,12.87
83.75,67.5,35.38,1.69
87.42,76.34,54.34,4.22
70.83,54.59,26.02,3.32
20.36,13.62,4.7,20.94
74.35,54.51,40.09,2.94
26.14,19.77,8.25,18.89
74.55,57.69,34.91,5.15
83.1,68.66,45.04,1.93
37.92,29.59,6.21,21.13
72.72,53.37,26.83,3.36
61.62,46.83,25.78,5.78
95.05,83.56,60.13,1.35
61.33,42.73,24.46,4.78
85.78,68.86,55.59,1.64
90.12,76.95,55.39,1.59
95.05,83.33,61.43,1.32
79.24,62.28,39.07,3.21
90.89,83.41,65.95,9.65
60.21,47.89,25.66,14.68
86.36,79.55,49.58,6.43
95.05,83.56,59.55,1.34
90.77,84.7,63.04,9.81
34.41,25.59,12.32,37.7
73.8,55.65,38.59,3.47
53.97,45.74,33.36,12.34
86.11,71.37,50.58,1.86
28.82,20.59,8.24,41.54
84.51,69.72,42.52,1.97
31.36,24.09,13.87,17.0
78.42,60.9,36.08,2.34
93.02,78.6,57.1,1.6
75.71,56.36,39.13,3.39
95.47,89.48,74.13,1.26
46.59,32.5,18.65,12.02
70.78,51.41,28.71,4.26
51.79,33.42,19.32,6.29
75.65,56.36,40.07,3.14
95.59,89.25,72.44,1.24
87.72,70.95,56.23,1.44
81.67,68.33,40.08,2.04
95.02,86.08,72.43,1.38
52.56,33.98,11.41,5.37
76.47,56.96,36.39,2.91
91.47,77.25,62.47,2.32
91.32,78.59,57.59,1.37
91.12,84.46,67.15,9.7
43.41,30.45,13.61,14.16
37.61,22.01,7.96,8.21
90.54,82.59,62.83,9.78
94.44,80.13,59.29,1.39
78.7,61.31,40.27,3.08
78.63,62.39,40.82,2.61
84.16,69.72,42.26,1.96
96.27,91.97,76.96,1.27
94.59,82.88,57.68,1.38
62.95,47.27,31.35,7.83
58.09,52.94,32.83,13.96
95.47,87.11,73.2,1.52
95.25,87.67,71.59,1.33
94.37,81.98,57.23,1.33
95.25,88.01,71.56,1.34
77.94,59.51,40.4,3.16
95.7,88.12,71.71,1.36
72.5,57.08,28.37,3.04
77.5,62.5,30.3,2.61
90.57,77.84,59.03,2.03
30.29,21.62,9.86,36.84
83.8,69.02,42.17,1.85
94.57,80.66,67.14,1.27
95.93,89.93,73.09,1.31
32.35,21.62,9.88,39.44
57.65,52.94,28.36,14.36
91.24,83.41,65.34,9.75
78.48,61.25,38.97,3.25
72.31,61.83,44.99,11.73
96.27,91.63,73.83,1.27
78.39,67.99,50.96,10.99
83.8,67.96,37.21,1.65
90.77,84.0,65.43,9.72
23.05,13.32,3.62,18.78
42.27,28.41,9.02,13.55
82.39,67.96,36.04,2.35
74.62,56.41,36.82,3.38
29.56,21.47,13.68,22.94
26.41,17.25,2.55,14.32
94.82,80.86,47.45,1.36
85.21,70.77,43.26,1.85
66.25,47.01,29.46,3.65
30.29,21.62,9.86,36.84
90.42,84.11,64.8,9.81
95.7,87.9,72.65,1.35
90.3,82.01,63.99,9.82
77.39,58.21,39.29,3.14
35.59,23.82,11.83,23.96
94.34,86.99,72.67,1.29
62.92,43.75,12.42,4.23
86.68,71.11,53.99,1.75
39.17,32.91,7.24,17.02
36.04,17.79,2.57,10.52
24.71,18.53,10.23,31.92
90.19,82.12,64.7,9.87
90.54,82.59,63.89,9.77
75.83,57.5,29.81,2.28
68.75,50.42,25.49,3.04
79.92,64.53,40.69,2.67
90.42,82.94,64.48,9.78
24.77,20.45,9.02,20.21
65.45,46.59,22.8,8.54
80.63,65.49,36.69,1.96
91.0,83.53,64.02,9.68
30.29,21.62,9.86,36.84
84.17,67.5,39.24,1.74
28.23,20.0,9.0,39.28
77.34,58.26,41.9,2.97
95.59,88.69,72.77,1.27
79.09,62.38,36.47,8.45
95.51,81.62,61.86,1.3
79.93,64.08,33.02,2.58
95.47,88.92,71.63,1.34
70.83,51.66,23.6,3.46
35.44,26.62,16.39,38.12
91.0,81.66,63.82,2.04
80.27,63.04,42.84,2.82
43.18,30.0,13.85,9.41
86.14,74.78,59.21,4.83
78.59,60.54,41.57,2.94
11.83,8.53,0.78,22.23
94.59,81.53,58.63,1.46
27.65,20.3,10.06,31.0
70.38,49.95,32.17,3.53
95.94,88.03,62.09,1.31
90.54,82.71,66.44,9.73
11.36,6.37,2.73,31.66
94.02,79.7,60.77,1.37
91.17,78.74,59.13,1.32
64.79,51.06,29.21,7.07
76.87,58.18,41.84,3.57
80.0,62.5,30.91,2.13
72.31,58.23,41.93,9.93
30.88,25.59,16.97,36.51
94.44,79.28,60.48,1.38
95.47,88.58,71.49,1.31
79.24,61.63,40.3,3.01
78.75,60.0,32.61,1.88
29.56,21.47,13.68,22.94
96.58,85.05,63.77,1.26
95.47,88.47,72.83,1.26
72.08,54.17,25.87,3.61
35.0,26.18,17.01,38.45
82.39,67.25,34.31,2.55
94.37,81.08,60.91,1.4
77.92,60.0,32.8,2.18
93.92,79.73,56.58,1.4
95.05,83.33,61.43,1.32
73.75,58.34,32.01,3.14
22.54,11.62,1.08,15.69
65.57,58.09,42.74,16.47
91.17,77.1,66.13,4.53
55.54,43.15,25.62,16.98
67.73,47.65,25.4,3.08
88.32,76.29,59.11,9.83
70.0,51.67,24.58,3.19
84.43,68.11,52.47,2.05
75.38,57.55,36.85,3.5
84.17,67.08,38.03,1.81
95.27,82.66,61.59,1.4
54.55,41.59,30.63,13.88
14.97,9.58,1.28,19.26
38.82,28.38,13.52,38.09
93.78,84.17,66.42,1.64
95.7,87.67,68.69,1.22
34.55,24.32,13.33,13.37
55.34,33.33,10.97,4.18
63.03,44.23,20.44,4.78
94.59,81.53,58.63,1.46
90.42,78.29,63.04,3.27
63.33,46.66,24.39,4.88
75.22,60.13,22.5,3.1
75.81,57.77,37.21,3.34
68.18,52.5,30.33,9.87
90.27,77.69,60.02,1.56
94.59,81.53,60.21,1.4
96.38,92.2,77.7,1.25
95.59,87.44,71.66,1.25
65.68,50.0,28.86,9.39
94.23,79.92,59.03,1.39
96.27,91.52,77.78,1.21
61.38,48.2,37.52,16.68
88.91,73.31,57.65,1.67
45.05,28.38,10.13,7.77
81.69,66.2,35.48,1.78
58.97,38.03,13.66,3.9
69.58,51.25,22.41,3.02
66.67,48.34,21.17,3.69
82.75,67.61,34.87,2.48
83.45,69.01,42.58,1.86
96.27,89.71,74.47,1.26
77.03,56.31,23.42,2.48
82.39,66.9,33.49,2.55
77.77,58.97,41.14,3.07
72.27,54.77,35.97,5.26
95.27,83.56,59.65,1.32
95.81,88.92,76.24,1.52
75.33,55.22,42.81,2.76
76.99,60.05,31.66,8.7
40.0,29.77,16.71,12.22
67.5,47.5,15.95,4.02
92.81,80.84,62.28,1.26
18.41,11.36,1.68,20.41
48.33,32.5,17.73,10.31
94.82,81.98,62.81,1.45
75.11,56.03,38.68,3.13
79.58,62.08,24.96,2.71
88.96,71.85,46.11,1.48
91.12,83.18,66.68,9.69
90.89,84.35,67.57,9.78
93.59,78.63,57.55,1.48
59.27,50.29,35.68,12.6
96.27,92.31,77.09,1.27
90.54,81.89,65.36,9.76
85.29,74.09,56.37,10.71
95.93,90.84,76.19,1.29
89.86,74.78,51.2,1.5
24.32,17.57,2.75,17.81
29.32,19.32,9.98,16.32
78.42,60.22,40.01,3.21
95.36,89.03,74.32,1.3
79.93,64.08,33.17,2.6
94.37,81.31,56.44,1.4
95.81,88.69,71.62,1.26
60.83,44.17,20.87,4.89
79.92,63.67,40.15,2.17
85.93,69.46,54.39,1.69
92.12,77.03,55.74,1.56
77.99,61.54,37.55,2.34
90.89,85.4,66.35,9.71
57.63,45.06,21.25,16.62
84.13,66.77,52.75,2.0
95.05,83.11,60.97,1.4
77.92,57.91,25.42,1.9
46.82,32.5,15.92,13.15
85.78,69.76,54.11,1.9
19.87,13.89,2.77,15.6
90.65,84.35,63.98,9.81
75.83,57.08,27.2,2.27
90.65,85.05,63.3,9.79
79.24,63.04,39.83,3.21
91.0,83.18,66.9,9.68
60.0,42.5,10.49,5.07
93.47,78.38,57.27,1.57
57.5,43.18,25.22,11.4
91.44,77.03,53.89,1.71
95.36,86.99,72.8,1.13
73.37,54.13,38.79,2.96
72.5,52.88,35.91,3.09
13.02,8.23,2.65,19.94
39.77,25.23,10.02,16.12
30.29,21.62,9.86,36.84
55.0,39.16,21.55,5.71
83.75,70.0,43.14,1.79
67.5,49.17,19.13,4.25
93.69,79.96,50.6,1.44
38.38,28.67,15.93,36.99
52.95,37.73,14.57,8.32
78.21,59.24,42.35,2.84
58.09,53.23,32.89,14.0
38.38,29.12,15.61,38.66
28.97,20.44,12.91,36.99
56.2,43.75,24.99,16.62
89.64,74.1,52.63,1.46
95.47,88.24,74.22,1.25
35.23,25.23,11.79,13.88
55.34,33.33,10.97,4.18
79.93,65.49,38.89,2.06
79.19,68.41,53.18,14.46
32.5,25.0,12.26,14.39
66.55,52.11,28.08,6.94
74.84,56.36,39.81,3.41
95.7,88.81,72.31,1.29
95.47,89.14,71.33,1.32
32.06,23.68,14.19,38.06
31.25,21.66,5.64,13.24
88.47,73.5,51.32,2.2
90.12,76.95,57.39,1.36
75.7,57.4,26.95,2.62
91.62,79.04,57.73,1.39
29.04,19.31,6.85,19.09
91.24,77.14,57.61,1.45
39.27,32.94,18.53,36.62
93.11,83.41,66.77,1.56
95.47,88.58,72.38,1.31
72.53,54.58,27.36,4.03
88.62,74.25,59.9,3.49
85.56,70.42,43.52,1.87
94.59,81.53,60.21,1.4
90.89,82.36,64.96,9.71
96.49,91.97,76.65,1.28
20.3,14.53,4.84,14.96
96.61,91.52,74.31,1.17
94.82,84.24,63.15,1.36
77.84,57.93,35.16,5.3
93.47,78.38,57.27,1.57
45.59,35.73,21.89,37.54
51.25,33.33,15.91,7.48
