GDT_TS,GDT_HA,GDC_SC,rmsd
77.83,59.24,41.31,3.16
39.27,30.88,20.25,40.15
89.52,75.9,60.8,4.07
92.09,77.56,59.52,1.47
95.02,86.08,68.78,1.21
24.85,14.52,4.66,17.08
96.04,90.16,75.55,1.29
72.5,56.67,26.78,3.23
90.54,84.46,65.55,9.82
90.72,77.25,60.29,2.31
59.46,47.39,31.77,16.06
77.61,59.3,37.41,3.31
56.62,49.12,34.96,13.58
81.69,66.2,37.45,1.81
96.49,92.42,77.01,1.25
43.86,29.32,16.6,13.67
94.82,83.33,62.77,1.31
66.17,58.09,43.76,14.49
93.92,80.86,54.7,1.36
94.59,82.88,60.93,1.28
46.82,32.5,15.92,13.15
79.77,68.86,44.97,6.88
70.0,51.67,24.13,3.34
79.49,64.1,39.62,2.7
90.19,82.24,63.52,9.79
90.57,75.75,58.1,1.56
55.44,45.88,33.12,10.79
59.58,41.67,12.23,5.26
91.92,80.24,64.82,1.84
41.18,32.2,21.37,39.09
80.28,65.14,29.15,2.66
83.8,69.36,41.38,1.89
77.78,57.69,43.35,2.1
82.33,69.46,42.61,4.99
94.14,79.28,49.63,1.07
72.99,54.57,36.99,3.35
89.97,73.65,57.85,1.29
84.88,69.31,52.0,2.15
74.89,56.47,38.21,3.32
25.23,17.73,5.41,15.96
82.05,72.27,46.39,5.58
78.52,59.51,27.3,2.22
85.83,72.92,41.25,1.66
79.19,68.41,53.18,14.46
92.79,76.13,48.07,1.78
90.77,82.48,65.87,9.71
75.11,56.03,37.19,3.06
82.69,64.96,41.96,1.89
93.24,80.41,50.77,1.36
66.2,52.11,28.48,7.0
20.68,15.91,4.01,25.35
61.33,42.73,24.46,4.78
86.67,70.83,39.09,1.52
91.25,77.08,47.99,1.21
50.23,35.0,19.91,11.96
77.5,58.75,28.83,2.08
90.54,82.36,66.15,9.71
74.17,59.16,30.87,2.92
90.42,84.11,65.33,9.7
60.68,45.0,22.54,10.03
96.38,91.74,77.43,1.26
58.09,53.09,29.5,13.86
83.75,68.75,36.78,1.71
82.39,66.55,36.1,1.85
24.79,14.96,3.56,13.21
90.42,84.11,60.13,9.7
90.99,76.13,54.93,1.68
66.47,55.84,38.76,12.2
94.59,81.31,60.85,1.41
90.42,77.1,61.28,1.69
90.54,83.18,63.86,9.77
33.53,23.82,8.25,38.49
38.68,27.94,13.56,37.95
94.82,83.33,62.77,1.31
71.56,61.97,47.22,10.01
71.25,55.84,26.97,3.17
96.49,92.31,76.87,1.23
82.92,65.83,35.68,2.18
91.0,82.94,66.12,9.69
75.6,60.78,50.15,14.2
80.13,63.03,40.12,2.11
75.64,54.91,32.15,2.67
75.34,56.67,37.67,4.02
25.29,18.68,9.68,38.98
74.65,56.69,20.97,3.38
95.59,89.37,72.39,1.4
92.79,77.93,57.7,1.5
76.13,58.71,35.88,4.47
44.66,26.71,11.68,6.3
85.42,68.33,38.6,1.52
78.48,61.14,37.87,3.28
28.52,19.01,2.67,14.2
90.57,77.84,57.64,1.82
